Hour,NO19,NO20,NO219,NO220,PM2519,PM2520
1:00,21.28333333,11.46666667,55.12,30.86666667,20.97297297,15.86666667
2:00,24.425,10.63333333,51.46,29.7,21.51351351,14.5
3:00,25.75,9.866666667,46.8,26.66666667,21.71171171,15.4
4:00,26.975,10.66666667,44.93333333,27.5,20.32727273,14.36666667
5:00,29.95,14.8,44.79333333,29.7,19.67272727,14.16666667
6:00,42.325,30.7,50.49333333,36.96666667,19.57272727,15.63333333
7:00,63.57142857,44.6,56.73154362,41.1,19.79816514,15.76666667
8:00,89.05,50.36666667,61.81333333,45.2,21.59090909,16.43333333
9:00,83.75,48.1,64.60666667,47.23333333,23.11926606,15.56666667
10:00,49.90833333,29.76666667,62.7,44.83333333,22.96330275,16.2
11:00,28.39495798,15.96666667,56.19463087,40.2,21.80733945,12.9
12:00,18.8559322,8.793103448,49.6122449,37.5862069,19.64814815,14.06666667
13:00,14.21008403,5.172413793,43.86486486,32.4137931,17.67592593,12.96666667
14:00,11.40336134,4.2,40.08724832,28.63333333,17.38888889,11.63333333
15:00,10.29166667,3.933333333,38.52666667,27.33333333,17.07272727,12
16:00,9.798319328,4.033333333,38.4295302,27.63333333,17.30909091,12.17241379
17:00,9.458333333,3.566666667,37.76,26.13333333,16.44545455,11.5
18:00,8.766666667,3.066666667,37.52666667,24.4,15.82882883,11.4
19:00,8.808333333,3.366666667,40.10666667,24.43333333,15.94594595,10.5
20:00,8.739495798,3.566666667,45.48993289,27.63333333,16.20720721,10.7
21:00,10.98333333,5.2,53.15333333,30.2,17.14545455,12.1
22:00,13.675,6.433333333,56.47333333,31.6,19.40540541,11.56666667
23:00,15.51666667,8.166666667,58.16,32.8,20.27927928,13.3
0:00,18.21666667,9.933333333,57.05333333,31.83333333,21.42342342,14.06666667
