Hour,NO19,NO2O,NO219,NO22O,CO19,CO2O,O319,O320
1:00,10.93103448,1.357142857,41.72413793,24.03571429,0.772413793,0.478571429,60.75862069,63.57142857
2:00,8.689655172,1.75862069,38,22.17241379,0.744827586,0.479310345,62.65517241,64.17241379
3:00,8.103448276,1.285714286,34.51724138,19.96428571,0.710344828,0.45,62.13793103,62.42857143
4:00,8,1.111111111,35.89655172,17.11111111,0.686206897,0.437037037,59.86206897,63.25925926
5:00,13.27586207,1,42.37931034,19.34482759,0.693103448,0.389655172,53,57.86206897
6:00,22.37931034,3.821428571,49.93103448,27.25,0.755172414,0.392857143,45.75862069,49.39285714
7:00,40.31034483,8.178571429,55.37931034,36.89285714,0.937931034,0.45,42.44827586,39.14285714
8:00,40.06896552,23.85714286,55.06896552,42,1.020689655,0.639285714,50.89655172,37.37037037
9:00,13.44827586,20.25925926,47.79310345,42.48148148,0.744827586,0.581481481,66.96551724,43.74074074
10:00,7.586206897,9.185185185,39.55172414,34.55555556,0.644827586,0.514814815,82.31034483,60.22222222
11:00,5.724137931,3.538461538,33.82758621,23.42307692,0.593103448,0.480769231,91.10344828,77.84615385
12:00,3.535714286,3.68,27.92857143,20.76,0.571428571,0.548,99.32142857,81.76923077
13:00,2.928571429,2.12,26.5,15.44,0.557142857,0.565384615,104.3928571,90.64
14:00,2.714285714,1.703703704,24.89285714,12.51851852,0.567857143,0.548148148,108.1785714,97.55555556
15:00,2.148148148,1.555555556,24.81481481,11.77777778,0.555555556,0.522222222,109.037037,99.33333333
16:00,2.111111111,1.407407407,25.44444444,10.81481481,0.566666667,0.503703704,107.2962963,101.6296296
17:00,2.321428571,1.333333333,26.28571429,10.48148148,0.567857143,0.47037037,105.8214286,101.8888889
18:00,1.428571429,1.142857143,26.82142857,9.178571429,0.582142857,0.442857143,103.3571429,102.1428571
19:00,1.178571429,1,32.28571429,9.185185185,0.589285714,0.440740741,95.85714286,100.5555556
20:00,2.103448276,1,42.62068966,11.7037037,0.651724138,0.437037037,80.89655172,95.92592593
21:00,4.896551724,1,46.34482759,14.82142857,0.668965517,0.442857143,73.10344828,89.10714286
22:00,9.517241379,1.074074074,48.65517241,17.62962963,0.727586207,0.47037037,67.37931034,80.88888889
23:00,8.068965517,1,47.93103448,21.60714286,0.74137931,0.478571429,63.17241379,71.57142857
0:00,8.068965517,1.107142857,46.93103448,25.07142857,0.737931034,0.492857143,60,65
