HOUR,320,NO20,NO220
1:00,88.75865801,1.069767442,4.186046512
2:00,89.62770563,1,3.348837209
3:00,89.43506494,1.023255814,3.674418605
4:00,88.28841991,1.046511628,3.604651163
5:00,86.06222944,1.023255814,3.418604651
6:00,86.11201299,1.023255814,3.627906977
7:00,86.53950216,1.162790698,4.046511628
8:00,84.17316017,1.418604651,4.953488372
9:00,84.0232684,1.302325581,5.697674419
10:00,85.29816017,1.76744186,7.395348837
11:00,87.46266234,2.139534884,8.697674419
12:00,90.84344867,2.142857143,9.047619048
13:00,95.35768398,1.88372093,8.674418605
14:00,97.95941558,1.681818182,8.045454545
15:00,98.88636364,1.465116279,7.209302326
16:00,98.65854978,1.372093023,6.76744186
17:00,98.80790043,1.372093023,6.697674419
18:00,98.31655844,1.279069767,6.534883721
19:00,96.54491342,1.162790698,6.465116279
20:00,93.60064935,1.069767442,6.465116279
21:00,89.7732684,1.139534884,6.720930233
22:00,89.92532468,1.093023256,5.953488372
23:00,92.06439394,1.093023256,4.651162791
0:00,91.72619048,1.023255814,4.209302326
