DAY,2016,2017,2018,2019,2020,2021,MEAN,MIN,MAX
1-Mar,0.57083333,0.93333333,0.55416667,0.46666667,0.64166667,0.4,0.63125,0.47,0.933333333
2-Mar,0.55416667,0,0.47916667,0.40416667,0.52083333,0.35833333,0.479166667,0.4,0.554166667
3-Mar,0.47083333,0,0.58333333,0.32916667,0.44583333,0.4625,0.461111111,0.33,0.583333333
4-Mar,0.18333333,0,0.73333333,0.44583333,0.27916667,0.70416667,0.454166667,0.18,0.733333333
5-Mar,0.40416667,0,0.94583333,0.57916667,0.5,0.65833333,0.643055556,0.4,0.945833333
6-Mar,0.58333333,0,0.45,0.42083333,0.575,0.32083333,0.484722222,0.42,0.583333333
7-Mar,0.39166667,0,0.3875,0.60833333,0.41666667,0.24583333,0.4625,0.39,0.608333333
8-Mar,0.45,0,0.29166667,0.75416667,0.25,0.32916667,0.498611111,0.29,0.754166667
9-Mar,0.8875,0,0.53333333,0.44166667,0.29583333,0.31666667,0.620833333,0.44,0.8875
10-Mar,0.22083333,0,0.80833333,0.29583333,0.3625,0.34166667,0.441666667,0.22,0.808333333
11-Mar,0.44583333,0,0.6625,0.12083333,0.8875,0.15833333,0.409722222,0.12,0.6625
12-Mar,0.82083333,0,0.5125,0.27083333,0.7125,0.26086957,0.534722222,0.27,0.820833333
13-Mar,0.45416667,0,0.28333333,0.28333333,0.75416667,0.42083333,0.340277778,0.28,0.454166667
14-Mar,0.225,0,0.27916667,0.4375,0.725,0.25416667,0.313888889,0.23,0.4375
15-Mar,0.67083333,0,0.35833333,0.39090909,0.3375,0.10833333,0.473358586,0.36,0.670833333
16-Mar,0.67083333,0,0.65833333,0.67083333,0.24583333,0.10833333,0.666666667,0.66,0.670833333
17-Mar,0.89583333,0.98,0.675,0.67916667,0.30833333,0.11666667,0.8075,0.68,0.98
18-Mar,0.7625,0.69166667,0.4,0.68333333,0.39583333,0.125,0.634375,0.4,0.7625
19-Mar,0.75,0.49166667,0.375,0.46666667,0.23333333,0.19166667,0.520833333,0.38,0.75
20-Mar,1.42083333,1.0375,0.375,0.74583333,0.48333333,0.24583333,0.894791667,0.38,1.420833333
21-Mar,0.72916667,0.95416667,0.56666667,0.42083333,0.4,0.22083333,0.667708333,0.42,0.954166667
22-Mar,0.73333333,0.7625,0.65,0.50416667,0.23333333,0.13043478,0.6625,0.5,0.7625
23-Mar,0.35833333,1.14166667,0.29166667,0.44166667,0.25416667,0.22083333,0.558333333,0.29,1.141666667
24-Mar,0.22083333,1.275,0.31666667,0.38333333,0.175,0.17083333,0.548958333,0.22,1.275
25-Mar,0.16666667,1.125,0.27916667,0.35,0.1,0.12083333,0.480208333,0.17,1.125
26-Mar,0.53333333,0.6375,0.35217391,0.6625,0.17083333,0.35416667,0.546376812,0.35,0.6625
27-Mar,0.45833333,0.62173913,0.40416667,0.65416667,0.175,0.42173913,0.534601449,0.4,0.654166667
28-Mar,0.44347826,0.85833333,0.55,0.38333333,0.18333333,0.37083333,0.558786232,0.38,0.858333333
29-Mar,0.95,0.74583333,0,0.33333333,0.22608696,0.45416667,0.676388889,0.33,0.95
30-Mar,0.925,1.24,0,0.3625,0.37916667,0.225,0.8425,0.36,1.24
31-Mar,0.89583333,0.6375,0,0.30833333,0.22916667,0.2125,0.613888889,0.31,0.895833333
1-Apr,0.79166667,0.60416667,0,0.50869565,0.17083333,0.37916667,0.634842995,0.51,0.791666667
2-Apr,0.66666667,0.64583333,0,0.47083333,0.17916667,0.52916667,0.594444444,0.47,0.666666667
3-Apr,0.68333333,0.5875,0.45,0.49583333,0.20416667,0.225,0.554166667,0.45,0.683333333
4-Apr,0.63333333,0.55416667,0.7875,0.38333333,0.175,0.14583333,0.589583333,0.38,0.7875
5-Apr,0.8875,0.6,0.82083333,0.55,0.10416667,0.32916667,0.714583333,0.55,0.8875
6-Apr,0.94583333,0.83333333,0.475,0.37083333,0.175,0.20416667,0.65625,0.37,0.945833333
7-Apr,1.175,0.61363636,0.37916667,0.29583333,0.15416667,0.12916667,0.615909091,0.3,1.175
8-Apr,0.52083333,0.65416667,0.25416667,0.33333333,0.15,0.175,0.440625,0.25,0.654166667
9-Apr,0.25416667,0.67916667,0.25416667,0.20416667,0.17916667,0.25833333,0.347916667,0.2,0.679166667
10-Apr,0.15,0.80416667,0.49166667,0.21666667,0.3125,0.21666667,0.415625,0.15,0.804166667
11-Apr,0.25416667,0.6173913,0.6875,0.2875,0.34166667,0.20416667,0.461639493,0.25,0.6875
12-Apr,0.55416667,0.69130435,0.70833333,0.42916667,0.25833333,0.3125,0.595742754,0.43,0.708333333
13-Apr,0.87916667,0.65,0.6875,0.575,0.25416667,0.29583333,0.697916667,0.58,0.879166667
14-Apr,1.05,0.675,0.75416667,0.8,0.24166667,0.3,0.819791667,0.68,1.05
15-Apr,0.90833333,0.6375,0.40833333,0.47083333,0.21666667,0.19583333,0.60625,0.41,0.908333333
16-Apr,0.675,0.40666667,0.53333333,0.49166667,0.17083333,0.28333333,0.526666667,0.41,0.675
17-Apr,0.69583333,0.36190476,0.42083333,0.69166667,0.19583333,0.27916667,0.542559524,0.36,0.695833333
18-Apr,0.90416667,0.50416667,0.6,0.7,0.22083333,0.22083333,0.677083333,0.5,0.904166667
19-Apr,1.075,0.45416667,0.6,0.525,0.20833333,0.23333333,0.663541667,0.45,1.075
20-Apr,0.4875,0.31578947,0.57916667,0.52916667,0.11666667,0.11666667,0.477905702,0.32,0.579166667
21-Apr,0.67083333,0.5375,0.40833333,0.3625,0.1875,0.1375,0.494791667,0.36,0.670833333
22-Apr,0.43333333,0.58333333,0.45,0.5,0.17083333,0.20833333,0.491666667,0.43,0.583333333
23-Apr,0.25,0.41666667,0.65833333,0.55416667,0.17916667,0.28333333,0.469791667,0.25,0.658333333
24-Apr,0.14583333,0,0.7375,0.69166667,0.16666667,0.22916667,0.525,0.15,0.7375
25-Apr,0.20833333,0.4,0.725,0.77083333,0.21666667,0.1625,0.526041667,0.21,0.770833333
26-Apr,0.16666667,0.8173913,0.72916667,0.45,0.12083333,0.30416667,0.540806159,0.17,0.817391304
27-Apr,0.2125,1.1,0.7875,0.54166667,0.24583333,0.23333333,0.660416667,0.21,1.1
28-Apr,0.35,1.45833333,0.5625,0.4875,0.23333333,0.2625,0.714583333,0.35,1.458333333
29-Apr,0.35416667,1.11818182,0.34583333,0,0.2,0.4125,0.606060606,0.35,1.118181818
30-Apr,0.30833333,0.67916667,0.47916667,0,0.1375,0.3375,0.488888889,0.31,0.679166667
1-May,0.14583333,0.63636364,0.3375,0,0.10833333,0.4125,0.373232323,0.15,0.636363636
2-May,0.1125,0.7875,0.51666667,0,0.125,0.45416667,0.472222222,0.11,0.7875
3-May,0.1,0.75416667,0.55,0.27272727,0.10416667,0.37916667,0.419223485,0.1,0.754166667
4-May,0.19166667,0.65833333,0.51666667,0.2625,0.25,0.15,0.407291667,0.19,0.658333333
5-May,0.55416667,0.54583333,0.40416667,0.27916667,0.20833333,0.18333333,0.445833333,0.28,0.554166667
6-May,0.63333333,0.47083333,0.3125,0.20416667,0.25833333,0.20416667,0.405208333,0.2,0.633333333
7-May,0.60416667,0.41666667,0.475,0.2,0.24583333,0.3125,0.423958333,0.2,0.604166667
8-May,0.475,0.45217391,0.7,0.27916667,0.25416667,0.225,0.476585145,0.28,0.7
9-May,0.37083333,0.40833333,0.525,0.32083333,0.25416667,0.18333333,0.40625,0.32,0.525
10-May,0.40833333,0.32916667,0.37916667,0.29565217,0.30833333,0.225,0.35307971,0.3,0.408333333
11-May,0.47083333,0.50833333,0.475,0.325,0.30833333,0.30416667,0.444791667,0.33,0.508333333
12-May,0.44166667,0.41818182,0.45416667,0.3875,0.33333333,0.2375,0.425378788,0.39,0.454166667
13-May,0.27083333,0,0.33333333,0.39583333,0.51666667,0.175,0.333333333,0.27,0.395833333
14-May,0.225,0.46153846,0.37916667,0.425,0.58333333,0.125,0.372676282,0.23,0.461538462
15-May,0.29166667,0.51818182,0.48333333,0.39583333,0.8125,0.225,0.422253788,0.29,0.518181818
16-May,0.19583333,0.55416667,0.50833333,0.34166667,0.825,0.175,0.4,0.2,0.554166667
17-May,0.2125,0.42083333,0.4875,0.50434783,0.5125,0.16666667,0.40629529,0.21,0.504347826
18-May,0.275,0.54583333,0.7375,0.4625,0.52083333,0.1875,0.505208333,0.28,0.7375
19-May,0.2375,0.79583333,0.57083333,0.375,0.3875,0.29166667,0.494791667,0.24,0.795833333
20-May,0.33333333,0.52857143,0.3375,0.4,0.30833333,0.175,0.39985119,0.33,0.528571429
21-May,0.34583333,0.7375,0.425,0.425,0.2375,0.21666667,0.483333333,0.35,0.7375
22-May,0.18333333,0.57826087,0.3625,0.54583333,0.34583333,0.18333333,0.417481884,0.18,0.57826087
23-May,0.40416667,1.05833333,0.36666667,0.35833333,0.2875,0.20416667,0.546875,0.36,1.058333333
24-May,0.26666667,0.81304348,0.375,0.275,0.23333333,0.34166667,0.432427536,0.27,0.813043478
