DAY,PM1020,PM10MEAN,PM10MIN,PM10MAX
1-Mar,27.25,41.27083333,29,53.54166667
2-Mar,26.125,23.91666667,22.83333333,25
3-Mar,17.41666667,34.125,22.5,45.75
4-Mar,16.70833333,47.70833333,47.33333333,48.08333333
5-Mar,17.83333333,50.20833333,49.125,51.29166667
6-Mar,16.29166667,35.22916667,20.375,50.08333333
7-Mar,17.625,49.41666667,27.375,71.45833333
8-Mar,60.16666667,22.58333333,11.75,41
9-Mar,10.58333333,20.65277778,10.875,28.95833333
10-Mar,17.75,20.66666667,11.625,27.75
11-Mar,25.66666667,17.38888889,9.75,28.08333333
12-Mar,21.20833333,18.20833333,12.54166667,23.95833333
13-Mar,22.125,18.02777778,8.708333333,32.54166667
14-Mar,18.45833333,20.69444444,10.54166667,36
15-Mar,18.375,24.67222222,15.58333333,41.58333333
16-Mar,10.125,35.70833333,23.66666667,53.70833333
17-Mar,14.08333333,33.94444444,23.20833333,43.125
18-Mar,23.625,41.52777778,21.45833333,69.75
19-Mar,23.08333333,33.43055556,21.29166667,46.125
20-Mar,38.25,26.15277778,12.375,38.25
21-Mar,31.41666667,24.95833333,23.08333333,28.45833333
22-Mar,33.29166667,30.33333333,20.66666667,38.125
23-Mar,24,23.77777778,13.5,30.95833333
24-Mar,4.75,28.66666667,11,43.25
25-Mar,9.291666667,32.63888889,25.91666667,38.875
26-Mar,8.541666667,94.55857488,34.20833333,211.2173913
27-Mar,10.29166667,27.26630435,25.17391304,30.83333333
28-Mar,13.375,22.23611111,17.875,27.16666667
29-Mar,19.7826087,23.65036232,16.625,34.5
30-Mar,30.79166667,23.70833333,18.20833333,27.95833333
31-Mar,37.66666667,22.02777778,19.16666667,25.75
1-Apr,33.66666667,27.81944444,25.58333333,30.33333333
2-Apr,9.958333333,24.5,13.08333333,32.79166667
3-Apr,20.625,27.41666667,17.125,34.29166667
4-Apr,8.333333333,26.06944444,21.29166667,30.375
5-Apr,2.166666667,25.04166667,19.29166667,34.70833333
6-Apr,11.04166667,21.01388889,18,25.58333333
7-Apr,12.5,20.11111111,13.04166667,26.58333333
8-Apr,14.04166667,37.43070652,16.16666667,97.33333333
9-Apr,12.95833333,27.86111111,11.79166667,52.25
10-Apr,21.75,20.75,10.66666667,29.08333333
11-Apr,30.125,22.08333333,11.91666667,30.54166667
12-Apr,27.79166667,23.10912698,13.625,28.28571429
13-Apr,28.29166667,29.4375,14.16666667,44.70833333
14-Apr,21.04166667,52.45833333,22.08333333,82.83333333
15-Apr,13.79166667,38.77083333,12.70833333,64.83333333
16-Apr,8.625,35.54166667,17.70833333,53.375
17-Apr,13.54545455,25.29166667,15.33333333,35.25
18-Apr,0,26.8125,16.16666667,37.45833333
19-Apr,0,33.60416667,18.91666667,48.29166667
20-Apr,0,40.83333333,19.70833333,61.95833333
21-Apr,0,28.85416667,19.04166667,38.66666667
22-Apr,0,25.6875,21.375,30
23-Apr,0,29.33333333,21.83333333,36.83333333
24-Apr,0,27.79166667,26.08333333,29.5
25-Apr,0,27.89583333,18,37.79166667
26-Apr,0,29.5,14.83333333,44.16666667
27-Apr,0,39.10416667,23.125,55.08333333
28-Apr,0,40.625,26.875,54.375
29-Apr,0,20.70833333,15.375,26.04166667
30-Apr,0,18.25,15.70833333,20.79166667
1-May,0,24.5625,11.95833333,37.16666667
2-May,0,16.20833333,14.16666667,18.25
3-May,0,14.5625,12.91666667,16.20833333
4-May,0,12.79166667,11.5,14.08333333
5-May,0,27.85416667,11.16666667,44.54166667
6-May,0,18.39583333,12,24.79166667
7-May,0,15.02083333,9.291666667,20.75
8-May,0,16.41666667,12.25,20.58333333
9-May,0,18.60416667,15.41666667,21.79166667
10-May,0,18.29166667,14.08333333,22.5
11-May,0,25.44444444,12.29166667,38
12-May,0,52.25,17.58333333,93.41666667
13-May,0,60.31944444,15.45833333,99.5
14-May,0,34.65277778,23.16666667,57.04166667
15-May,0,23.34722222,12.33333333,37.04166667
16-May,0,21.01388889,13.75,28
17-May,0,18.77266082,14.45833333,27.33333333
18-May,0,16.39583333,12.54166667,20.25
19-May,0,18.85416667,18.25,19.45833333
20-May,0,17.3125,15.375,19.25
21-May,0,23.125,20.08333333,26.16666667
22-May,0,12.91666667,10.875,14.95833333
23-May,0,16.875,16.04166667,17.70833333
24-May,0,19.5625,15.5,23.625
25-May,0,16.04166667,15.625,16.45833333
26-May,0,15.89583333,13.125,18.66666667
27-May,0,15.60416667,7.666666667,23.54166667
28-May,0,16.25,7.041666667,25.45833333
29-May,0,22.89583333,14.79166667,31
30-May,0,32.72916667,17.625,47.83333333
31-May,0,37.75595238,22.42857143,53.08333333
