DAY,2021,2020,2019
1-Mar,13,22,30
2-Mar,9,20,22
3-Mar,12,19,19
4-Mar,30,11,22
5-Mar,32,11,33
6-Mar,18,17,22
8-Mar,10,20,39
9-Mar,16,9,23
10-Mar,21,11,16
11-Mar,11,25,12
12-Mar,15,22,13
13-Mar,29,15,10
14-Mar,31,21,20
15-Mar,11,20,13
16-Mar,5,8,25
17-Mar,7,9,22
18-Mar,6,20,26
19-Mar,10,11,21
20-Mar,17,23,27
21-Mar,17,29,14
22-Mar,15,29,14
23-Mar,8,23,17
24-Mar,10,7,15
25-Mar,10,8,17
26-Mar,17,11,31
27-Mar,26,8,27
28-Mar,33,10,16
29-Mar,29,20,11
30-Mar,11,25,12
31-Mar,10,20,13
1-Apr,17,21,14
2-Apr,29,8,16
3-Apr,19,9,17
4-Apr,17,10,17
5-Apr,15,4,25
6-Apr,15,6,14
7-Apr,11,8,25
8-Apr,11,9,19
9-Apr,10,10,10
10-Apr,12,14,11
11-Apr,22,20,13
12-Apr,20,20,16
13-Apr,21,19,19
14-Apr,24,22,30
15-Apr,13,12,20
16-Apr,15,6,14
17-Apr,19,12,27
18-Apr,30,20,22
19-Apr,24,25,16
22-Apr,13,11,18
23-Apr,14,11,27
24-Apr,10,10,27
25-Apr,12,14,28
26-Apr,16,15,30
27-Apr,18,15,36
28-Apr,17,19,37
29-Apr,23,15,19
30-Apr,24,9,13
1-May,26,11,8
2-May,42,7,10
3-May,27,7,12
4-May,13,8,13
5-May,15,9,17
6-May,12,9,14
7-May,15,12,7
8-May,14,9,12
9-May,9,13,16
10-May,9,19,14
11-May,9,13,18
12-May,12,13,19
13-May,14,19,15
14-May,9,20,18
15-May,13,26,17
16-May,7,28,16
17-May,9,28,21
18-May,9,34,23
19-May,15,27,16
20-May,26,25,19
21-May,6,13,22
22-May,13,8,16
23-May,14,10,14
24-May,21,10,11
25-May,17,13,14
26-May,19,10,15
27-May,15,10,19
28-May,12,10,23
29-May,13,13,12
30-May,13,13,14
31-May,14,14,15
