DAY,N020,NOMEAN,NOMIN,NOMAX,N0220,NO2MEAN,NO2MIN,NO2MAX,SO220,SO2MEAN,SO2MIN,SO2MAX,PM252O,PM25MEAN,PM25MIN,PM25MAX,PM1020,PM10MEAN,PM10MIN,PM10MAX
1-Mar,43,31.73214286,14.45833333,68.29166667,49,51.49404762,39.1666667,66.66666667,0,3.902777778,2.083333333,8,23,22.20039683,12.58333333,30.625,27.25,25.5,7,48
2-Mar,58,19.22619048,9.458333333,38.58333333,48,43.16071428,28.625,57.04166667,0,3.5625,2,7.875,12,14.08928571,8.75,21.58333333,26.125,13.75,7,29
3-Mar,55,28.14285714,10.33333333,73.41666667,48,46.54960318,33.5555556,70.45833333,0,5.008333333,2.05,9.625,14,17.86607143,11.79166667,25.75,17.41666667,16.875,1,28
4-Mar,15,34.41666667,11,61.83333333,45,52.52777777,31.54166667,68.04166667,0,5.194444444,2.166666667,8.416666667,15,21.37662338,6.833333333,29.5,16.70833333,17.875,7,30
5-Mar,42,49.21527778,13.125,71.375,50,53.56249999,37.7083333,66.33333333,0,5.1875,3,8.333333333,22,30.0952381,8.875,38.29166667,17.83333333,23.5,6,78
6-Mar,63,18.97685185,9.777777778,38.33333333,50,48.24537036,38.58333333,61.58333333,0,4.523148148,2.222222222,8.958333333,20,18.88809524,9.583333333,24.16666667,16.29166667,16.75,7,26
7-Mar,34,30.85833333,18.91666667,61.625,43,49.53333333,37.25,58.875,0,3.858333333,2.25,7.208333333,19,17.50694444,10.625,30.91666667,17.625,17,0,30
8-Mar,10,22.59722222,3.75,80.95833333,34,44.02083333,35,61.33333333,0,3.414285714,2,5.541666667,11,15.44642857,7.375,39.16666667,60.16666667,17.5,3,32
9-Mar,23,27.17494824,16.41666667,57.20833333,48,54.89777433,48.45833333,62.75,0,4.108333333,2.208333333,8.5,11,14.95183983,8.916666667,22.70833333,10.58333333,12.5,8,24
10-Mar,18,25.18792517,8.857142857,36.5,48,49.65306121,34.9047619,57.54166667,0,4.21547619,2,6.333333333,17,15.40986395,8.619047619,21.25,17.75,13.5,3,22
11-Mar,84,13.1547619,7.166666667,28.875,56,38.33333332,26.95833333,56.08333333,0,3.758333333,2,6.208333333,13,13.49404762,9.625,24.70833333,25.66666667,12,4,19
12-Mar,69,20.58928571,13.91666667,37.33333333,50,41.18452381,34.5416667,48.04166667,0,3.241666667,2,5.041666667,20,16.0952381,11.75,20.875,21.20833333,14,9,19
13-Mar,117,20.78571429,6.75,46.66666667,52,42.42207792,26.4545455,58.95833333,0,3.273148148,2,6.458333333,9,18.03826531,7.916666667,29,22.125,11.375,1,22
14-Mar,101,17.16666667,6.666666667,30.70833333,53,43.17261905,24.08333333,64.1666667,0,2.881944444,2,5.291666667,11,17.79761905,6.875,30.5,18.45833333,13.25,1,22
15-Mar,34,26.72619048,5.958333333,64.70833333,35,48.55357144,19.75,76.1666667,0,3.034722222,2.041666667,5.208333333,25,16.45238095,8.083333333,26.20833333,18.375,13.875,6,22
16-Mar,4,46.32246377,5.25,87.83333333,25,53.51837474,20.70833333,77.25,0,3.583080808,2.066666667,6.666666667,22,22.48809524,5.291666667,42.66666667,10.125,14.25,7,25
17-Mar,15,39.86309524,8.125,79.66666667,34,50.46428571,28.16666667,70.25,0,3.895833333,2,9,15,18.54166667,6.708333333,32.25,14.08333333,15.25,3,29
18-Mar,62,22.85119048,8.791666667,55.375,46,42.86309523,31.16666667,56.875,0,3.548611111,2,6.375,21,16.42261905,5.833333333,25.54166667,23.625,19.875,8,48
19-Mar,8,17.77218615,8.363636364,30.79166667,33,42.68235931,30.875,59.375,0,3.256944444,2,6.375,20,14.75,10.20833333,21.375,23.08333333,14.5,5,23
20-Mar,59,41.11904762,10.04166667,78.54166667,50,50.73214287,31.6666667,75.875,0,4.895833333,2,9.625,8,23.60119048,8.916666667,41.83333333,38.25,21.625,7,43
21-Mar,42,40.15277778,6.166666667,78.58333333,48,54.7202381,27.29166667,82.6666667,0,5.430555556,2,12.875,9,23.97619048,12.70833333,36.375,31.41666667,24.125,11,42
