DAY,COMEAN,COMIN,COMAX,CO2O,NOMEAN,NOMIN,NOMAX,NO2O,NO2MEAN,NO2MIN,NO2MAX,NO22O,O3MEAN,O3MIN,O3MAX,O32O,SO2MEAN,SO2MIN,SO2MAX,SO22O
1-Mar,0.52271412,0.2171875,0.944444444,0.6,33.80357143,14.45833333,60.66666667,39,35.51190476,19.66666667,57.54166667,31,21.34027778,10.33333333,39.33333333,29,5.104166667,2.916666667,7.666666667,4
2-Mar,0.392118056,0.160763889,0.564756944,0.5,21.21666667,9.541666667,25.79166667,25,33.45833333,15.79166667,53.91666667,30,24.01388889,11.95833333,33.79166667,28,3.472222222,2.166666667,5.416666667,3
3-Mar,0.4159375,0.273611111,0.590972222,0.4,20.74166667,12.83333333,25.625,23,33.55833333,21.5,42.54166667,19,26.3125,6.916666667,68.625,39,5.305555556,2,10.45833333,3
4-Mar,0.615277778,0.186805556,0.969444444,0.3,34.05833333,12.91666667,64.625,10,40.49166667,20.25,61.625,19,23.61111111,12.29166667,55.625,42,5.493961353,2.708333333,10.20833333,2
5-Mar,0.699965278,0.416840278,0.962847222,0.5,45.125,17.29166667,80.625,23,43.00833333,26.875,65.66666667,28,25.5625,8.041666667,46.45833333,22,4.972222222,3.375,6.208333333,4
6-Mar,0.452534722,0.313368056,0.561805556,0.6,25.14166667,8.458333333,41,32,37.925,20.125,55.70833333,26,26.40277778,13.66666667,50.58333333,25,4.069444444,3.333333333,5.291666667,3
7-Mar,0.355796051,0.131758034,0.608680556,0.4,23.75,6.208333333,68.20833333,20,34.15,10.45833333,63.5,24,20.00694444,8.708333333,33,32,3.875,2.083333333,5.375,2
8-Mar,0.433923611,0.291319444,0.748090278,0.3,29.13333333,8.083333333,82.20833333,9,36.68333333,17.08333333,64.91666667,15,26.25,12.125,42.45833333,40,3.5,2,4.708333333,2
9-Mar,0.463645833,0.160763889,0.8703125,0.3,23.67971014,11.56521739,37.83333333,12,40.20036232,29.04347826,61.83333333,25,25.72916667,10.16666667,42.20833333,25,5.069444444,2.125,10,2
10-Mar,0.381840278,0.217534722,0.800347222,0.4,20.51666667,9.458333333,29,16,35.98333333,21.29166667,43.04166667,26,32.23611111,13.54166667,61.41666667,31,4.347222222,2.041666667,8.5,3
11-Mar,0.312256944,0.105034722,0.6484375,0.9,13.70757576,9.208333333,22.25,43,26.48863636,18.83333333,39.875,31,25.3125,12.125,47.41666667,13,4.097222222,2.083333333,7.291666667,4
12-Mar,0.45093389,0.267863894,0.821701389,0.7,23.41259058,17.60869565,29.29166667,28,35.27264493,27.17391304,44.29166667,28,27.27083333,16.41666667,35.91666667,11,3.041666667,2.208333333,4.666666667,3
13-Mar,0.3453125,0.286805556,0.443923611,0.8,22.677657,19.94444444,27.875,36,37.63852657,31.5,48.83333333,27,37.58333333,22.75,58.83333333,9,2.139492754,2,2.375,3
14-Mar,0.3159375,0.226041667,0.434895833,0.7,23.15833333,12.29166667,40.70833333,41,37.15833333,21.5,60.125,27,35.32638889,26.70833333,41.79166667,7,2.222222222,2.041666667,2.416666667,3
15-Mar,0.415305613,0.104513889,0.694618056,0.3,30.15227273,6.666666667,55.20833333,14,42.02727273,11.83333333,73.41666667,17,33.06944444,16.95833333,44.33333333,8,2.434343434,2.083333333,2.636363636,2
16-Mar,0.615520833,0.108680556,1.006423611,0.2,45.75,6.791666667,88.45833333,10,38.13333333,12.45833333,62.875,13,36.40277778,24.70833333,45.83333333,30,3.805555556,2.166666667,5.583333333,2
17-Mar,0.64947338,0.117361111,0.98,0.3,33.42083333,10,58.29166667,12,36.38055556,19.20833333,54.29166667,19,24.16666667,11,36.91666667,41,3.80625,2.75,5.1,3
18-Mar,0.45882906,0.104536862,0.7609375,0.4,31.625,12.125,58.54166667,23,34.29861111,21.70833333,46.625,23,28.08695652,4.52173913,42.25,28,4.40625,2.958333333,5.583333333,3
19-Mar,0.426186343,0.195486111,0.722916667,0.2,21.39583333,9,37.25,7,34.27777778,24.20833333,48.45833333,16,26,18.625,32.04166667,50,4.28125,3.083333333,5.166666667,2
20-Mar,0.707928241,0.247743056,1.321701389,0.5,46.22222222,14.16666667,78.29166667,27,41.81944444,29.70833333,61.08333333,30,20.25694444,11.04166667,28,19,5.96875,3.375,9.458333333,3
21-Mar,0.496267361,0.173784722,0.931423611,0.4,37.21527778,9.25,80.875,17,40.65277778,19.66666667,74.20833333,28,26.52777778,11.20833333,35.5,44,5.141666667,2,9.4,3
22-Mar,0.503003352,0.118714556,0.769270833,0.2,29.93689614,7.913043478,57.33333333,6,35.82004831,18.08695652,48.29166667,17,26.55555556,12.125,40.70833333,53,3.333333333,2,5.875,2
23-Mar,0.452442273,0.225868056,1.155902778,0.3,25.15398551,13.04166667,48.375,8,35.07336957,20.04166667,46.56521739,19,20.95138889,12.375,32.25,28,3.052083333,2,5.291666667,2
24-Mar,0.466435185,0.173784722,1.290625,0.2,29.91666667,8.583333333,70.58333333,7,38.61111111,17.375,65.375,12,24.09722222,16.375,35.70833333,28,3.770833333,2.333333333,7.166666667,2
25-Mar,0.406944444,0.121701389,1.071875,0.1,28.39583333,6.25,63.125,5,34.65972222,10.75,50.04166667,5,26.44444444,9.416666667,36.54166667,40,4.773097826,2.291666667,10.2173913,2
26-Mar,0.45956688,0.257465278,0.6484375,0.2,29.36292271,16.26086957,54.33333333,7,42.71890097,26.29166667,63.625,8,34.42361111,8.375,51.375,28,4.368206522,2.291666667,6.791666667,2
27-Mar,0.479853453,0.349905482,0.643923611,0.2,28.65851449,18.08695652,42.41666667,6,39.68931159,19.95652174,53.26086957,12,35.54166667,29.125,45.70833333,30,3.586174242,2.416666667,4.636363636,2
28-Mar,0.481898444,0.278472222,0.856597222,0.2,21.71779127,10.16666667,35.54166667,8,37.20075758,22,62.20833333,12,32.38194444,17.5,49.54166667,38,4.445693347,2.833333333,6.045454545,2
29-Mar,0.546180556,0.239930556,0.947916667,0.2,33.43662465,16.33333333,59.29166667,7,38.78956583,29.29166667,52.79166667,14,37.09722222,17.79166667,64.79166667,35,4.052083333,2,6.25,2
