DAY,PM2518,PM2519,PM2520,PM2521,PM1018,PM1019,PM1020,PM1021,SO218,SO219,SO220,SO221,NO18,NO19,NO20,NO21,NO218,NO219,NO220,NO221
1-Mar-18,17,30,22,13,26,49,34,20,4,0,0,2,14,68,43,19,51,67,49,41
2-Mar-18,14,22,20,9,28,42,37,17,2,0,0,2,9,39,58,10,45,57,48,29
3-Mar-18,26,19,19,12,66,30,45,19,10,0,0,2,42,14,55,19,56,39,48,42
4-Mar-18,25,22,11,30,65,36,33,41,8,0,0,7,37,35,15,62,59,52,45,67
5-Mar-18,38,33,11,32,122,52,24,50,4,0,0,4,55,71,42,70,62,60,50,66
6-Mar-18,16,22,17,18,42,42,33,29,4,0,0,2,13,38,63,10,40,62,50,49
7-Mar-18,21,31,13,0,79,55,32,0,5,0,0,0,28,62,34,0,45,59,43,0
8-Mar-18,7,39,20,10,27,66,91,19,3,0,0,2,9,81,10,4,36,61,34,35
9-Mar-18,11,23,9,16,22,41,19,26,9,0,0,3,25,57,23,16,63,60,48,48
10-Mar-18,21,16,11,21,33,31,21,37,6,0,0,4,36,29,18,31,57,48,48,56
11-Mar-18,25,12,25,11,37,25,41,25,6,0,0,3,29,9,84,7,56,28,56,27
12-Mar-18,21,13,22,15,34,32,37,21,4,0,0,3,37,26,69,14,46,41,50,39
13-Mar-18,8,10,15,29,21,18,29,43,3,0,0,4,7,13,117,47,30,33,52,54
14-Mar-18,8,20,21,31,20,33,40,44,2,0,0,3,9,31,101,12,34,46,53,39
15-Mar-18,8,13,20,11,16,22,34,23,2,0,0,4,10,19,34,6,43,42,35,20
16-Mar-18,13,25,8,5,29,44,18,15,5,0,0,4,35,78,4,5,69,58,25,21
17-Mar-18,19,22,9,7,39,41,17,16,3,0,0,5,32,80,15,8,54,56,34,28
18-Mar-18,17,26,20,6,64,48,33,14,4,0,0,4,12,55,62,9,39,49,46,31
19-Mar-18,12,21,11,10,43,41,17,17,2,0,0,3,8,31,8,11,39,50,33,41
20-Mar-18,9,27,23,17,19,51,36,28,4,0,0,2,10,47,59,12,42,47,50,39
21-Mar-18,17,14,29,17,34,28,44,34,3,0,0,3,32,6,42,7,59,27,48,29
22-Mar-18,18,14,29,15,62,24,42,34,3,0,0,4,14,8,21,7,49,31,35,32
23-Mar-18,11,17,23,8,28,27,34,15,3,0,0,2,8,8,28,12,37,34,37,31
24-Mar-18,9,15,7,10,15,33,13,15,3,0,0,2,5,5,17,6,33,28,29,22
25-Mar-18,17,17,8,10,54,30,15,12,3,0,0,2,5,8,5,3,31,40,18,17
26-Mar-18,59,31,11,17,270,55,16,25,3,0,0,4,11,62,8,33,41,68,25,52
27-Mar-18,19,27,8,26,61,49,13,36,4,0,0,3,17,37,14,27,46,53,30,53
28-Mar-18,14,16,10,33,26,30,20,43,5,0,0,4,22,10,19,27,57,37,26,52
29-Mar-18,14,11,20,29,22,27,34,46,3,0,0,4,8,7,16,49,37,24,29,63
30-Mar-18,20,12,25,11,33,22,43,19,5,0,0,2,21,4,50,8,56,21,39,33
31-Mar-18,27,13,20,10,41,20,46,18,3,0,0,2,30,5,11,8,56,25,36,28
1-Apr-18,11,14,21,17,31,26,43,29,3,0,0,2,4,20,10,25,22,47,32,49
2-Apr-18,9,16,8,29,22,29,16,48,4,0,0,5,9,14,6,81,41,45,29,66
3-Apr-18,17,17,9,19,31,32,16,32,4,0,2,3,52,11,9,10,70,44,32,43
4-Apr-18,18,17,10,17,33,36,14,36,11,0,3,3,46,9,5,3,74,45,24,23
5-Apr-18,20,25,4,15,39,45,9,42,11,0,3,2,54,22,6,23,82,56,20,42
6-Apr-18,19,14,6,15,30,19,11,40,7,0,2,4,11,9,5,13,55,36,27,34
7-Apr-18,13,25,8,11,23,35,16,22,3,0,2,3,9,9,4,5,38,38,24,27
8-Apr-18,23,19,9,11,22,32,24,24,2,0,2,2,8,21,2,9,29,53,24,35
9-Apr-18,0,10,10,10,20,21,20,14,3,0,2,2,7,7,8,6,35,33,34,28
10-Apr-18,0,11,14,12,38,21,30,18,6,0,3,2,27,10,44,9,63,38,48,37
11-Apr-18,0,13,20,22,49,24,36,29,8,0,5,4,44,11,51,9,74,41,49,41
12-Apr-18,0,16,20,20,49,29,39,30,7,0,3,3,51,31,19,27,79,56,36,56
13-Apr-18,26,19,19,21,52,40,38,34,8,0,3,5,39,38,22,33,69,60,46,57
14-Apr-18,35,30,22,24,66,51,44,38,11,0,6,3,37,71,43,39,73,45,45,55
15-Apr-18,22,20,12,13,45,32,28,27,10,0,3,5,8,32,18,18,44,56,34,40
16-Apr-18,22,14,6,15,49,22,12,29,7,0,2,2,20,15,4,12,62,42,26,40
17-Apr-18,34,27,12,19,99,46,21,31,10,0,5,2,16,61,13,5,52,60,33,26
18-Apr-18,34,22,20,30,85,38,0,50,6,0,4,4,26,43,19,6,58,57,36,37
19-Apr-18,15,16,25,24,38,0,0,42,4,0,5,4,17,15,13,20,53,47,26,45
20-Apr-18,17,0,16,8,38,0,0,13,10,0,4,2,41,19,13,5,54,48,23,27
21-Apr-18,11,0,15,8,22,0,34,15,0,0,3,4,6,10,11,6,31,45,22,35
22-Apr-18,17,18,11,13,32,28,23,21,0,0,2,3,19,33,3,23,58,58,20,44
23-Apr-18,23,27,11,14,43,44,20,27,0,0,3,2,40,32,4,21,73,69,23,58
24-Apr-18,27,27,10,10,48,52,20,14,0,0,4,2,43,46,5,7,83,77,28,28
25-Apr-18,26,28,14,12,53,60,25,18,0,0,9,2,82,69,21,6,94,75,42,26
