DAY,CO20,C021,COMEAN,COMIN,COMAX,NO20,NO21,NOMEAN,NOMIN,NOMAX,NO220,NO221,NO2MEAN,NO2MIN,NO2MAX,O320,O321,O3MEAN,03MIN,03MAX,SO220,SO221,SO2MEAN,SO2MIN,SO2MAX
1-Mar,0.6,0.4,0.6,0.5,0.9,39,32,39,21,61,31,20,39,20,58,29,27,28,2,39,4,0,5,3,8
2-Mar,0.5,0.4,0.5,0.4,0.6,25,27,25,25,26,30,16,43,32,54,28,30,44,38,54,3,0,3,2,5
3-Mar,0.4,0.5,0.5,0.3,0.6,23,24,23,21,26,19,22,33,26,41,39,20,40,35,46,3,0,5,2,10
4-Mar,0.3,0.7,0.5,0.2,0.7,10,21,28,13,43,19,33,37,20,55,42,21,38,28,50,2,0,5,3,10
5-Mar,0.5,0.7,0.6,0.4,0.9,23,11,36,17,56,28,32,42,27,58,22,21,32,19,45,4,0,5,3,6
6-Mar,0.6,0.3,0.5,0.4,0.6,32,11,29,29,30,26,20,42,29,56,25,35,43,41,46,3,0,4,3,5
7-Mar,0.4,0.2,0.5,0.4,0.6,20,10,42,15,68,24,10,43,23,64,32,36,47,25,60,2,0,4,2,5
8-Mar,0.3,0.3,0.5,0.3,0.8,9,18,48,13,82,15,17,45,25,65,40,32,46,23,64,2,0,4,2,5
9-Mar,0.3,0.3,0.6,0.4,0.9,12,7,33,29,38,25,29,50,37,62,25,36,30,28,34,2,0,5,2,10
10-Mar,0.4,0.3,0.4,0.2,0.8,16,9,13,9,17,26,37,32,21,43,31,21,46,34,60,3,0,4,2,9
11-Mar,0.9,0.2,0.4,0.1,0.7,43,22,12,9,15,31,19,24,23,26,13,0,54,38,66,4,0,4,2,7
12-Mar,0.7,0.3,0.5,0.3,0.8,28,19,27,25,29,28,27,35,35,35,11,0,36,30,40,3,0,3,2,5
13-Mar,0.8,0.4,0.3,0.3,0.5,36,14,22,22,23,27,37,34,32,36,9,0,47,35,64,3,0,2,2,2
14-Mar,0.7,0.3,0.3,0.2,0.4,41,8,28,16,41,27,28,32,22,43,7,0,46,34,65,3,0,2,2,2
15-Mar,0.3,0.1,0.5,0.4,0.7,14,23,24,21,28,17,12,35,24,45,8,0,42,31,55,2,0,2,2,3
16-Mar,0.2,0.1,0.7,0.7,0.7,10,19,44,23,65,13,12,38,24,53,30,0,33,24,43,2,0,4,2,6
17-Mar,0.3,0.1,0.8,0.7,1,12,18,38,25,58,19,19,38,28,54,41,0,37,30,43,3,0,4,3,5
18-Mar,0.4,0.1,0.6,0.4,0.8,23,24,43,29,59,23,22,36,27,47,28,0,36,20,50,3,0,4,3,6
19-Mar,0.2,0.2,0.5,0.4,0.8,7,23,25,9,37,16,29,34,24,48,50,0,46,34,59,2,0,4,3,5
20-Mar,0.5,0.2,0.9,0.4,1.4,27,21,64,51,78,30,30,42,38,47,19,3,37,23,58,3,0,6,3,9
21-Mar,0.4,0.2,0.7,0.4,1,17,13,37,21,51,28,20,37,34,41,44,3,41,31,55,3,0,5,2,9
22-Mar,0.2,0.1,0.7,0.5,0.8,6,16,30,24,43,17,18,35,34,37,53,0,43,37,51,2,0,3,2,6
23-Mar,0.3,0.2,0.6,0.3,1.1,8,8,31,19,48,19,20,37,24,44,28,0,49,23,66,2,0,3,2,5
24-Mar,0.2,0.2,0.5,0.2,1.3,7,14,34,9,71,12,17,34,18,46,28,67,53,26,66,2,0,4,2,7
25-Mar,0.1,0.1,0.5,0.2,1.1,5,10,30,8,63,5,11,35,18,44,40,77,58,45,67,2,0,5,2,10
26-Mar,0.2,0.4,0.5,0.4,0.7,7,20,34,22,54,8,40,40,26,64,28,49,45,35,62,2,0,4,2,7
27-Mar,0.2,0.4,0.5,0.4,0.7,6,13,28,18,42,12,43,33,20,50,30,53,40,32,51,2,0,4,2,5
28-Mar,0.2,0.4,0.6,0.4,0.9,8,9,21,19,24,12,41,34,24,49,38,53,45,32,53,2,0,4,3,6
29-Mar,0.2,0.5,0.7,0.3,1,7,11,31,16,59,14,45,34,29,39,35,46,52,33,68,2,0,4,2,6
30-Mar,0.4,0.2,0.8,0.4,1.2,21,15,37,23,57,17,25,43,35,58,22,73,44,29,62,3,0,5,2,7
31-Mar,0.2,0.2,0.6,0.3,0.9,7,16,37,22,61,14,24,39,29,56,44,68,46,31,57,2,0,4,2,6
1-Apr,0.2,0.4,0.6,0.5,0.8,5,12,27,12,49,12,36,34,21,50,57,51,50,28,79,2,0,4,2,7
2-Apr,0.2,0.5,0.6,0.5,0.7,5,9,30,15,42,10,43,40,35,47,59,42,47,26,68,2,0,4,2,7
3-Apr,0.2,0.2,0.6,0.5,0.7,6,16,37,24,61,13,31,46,34,67,50,61,41,31,56,2,0,4,2,7
4-Apr,0.2,0.1,0.6,0.4,0.8,5,9,34,20,69,9,15,47,30,74,44,79,47,41,60,2,0,6,3,11
5-Apr,0.1,0.3,0.7,0.6,0.9,5,11,48,32,68,7,28,52,36,78,46,32,39,32,49,2,0,8,3,12
6-Apr,0.2,0.2,0.7,0.4,0.9,6,12,37,20,55,12,20,45,40,52,57,57,46,37,58,2,0,7,2,12
7-Apr,0.2,0.1,0.6,0.3,1.2,7,22,31,14,61,11,13,44,38,53,53,88,48,28,58,2,0,6,3,11
8-Apr,0.2,0.2,0.4,0.3,0.7,5,9,19,13,21,9,20,34,27,47,63,70,59,39,78,2,0,4,2,7
9-Apr,0.2,0.3,0.3,0.2,0.7,6,11,15,9,29,14,25,30,25,36,63,65,67,52,88,2,0,4,2,8
