DAY,COMEAN,COMIN,COMAX,CO2O,NOMEAN,NOMIN,NOMAX,NO2O,NO2MEAN,NO2MIN,NO2MAX,NO22O,O3MEAN,O3MIN,O3MAX,O32O
1-Mar,0.64,0.27,1.53,0.70,23.19,2.08,67.65,9.00,31.27,16.42,50.54,41.00,44.65,29.88,55.79,43.00
2-Mar,0.43,0.23,0.84,0.80,7.97,1.63,22.54,22.00,32.47,18.46,55.63,45.00,57.29,31.92,71.96,41.00
3-Mar,0.46,0.26,0.60,0.70,11.87,1.96,27.00,23.00,36.43,14.54,51.21,28.00,52.02,29.33,78.54,58.00
4-Mar,0.58,0.40,0.81,0.40,15.63,4.21,26.17,2.00,36.35,17.25,46.04,24.00,45.35,35.96,59.42,66.00
5-Mar,0.75,0.43,1.13,0.80,24.77,5.25,40.71,16.00,30.72,10.04,52.54,43.00,42.72,27.17,56.96,35.00
6-Mar,0.53,0.31,0.83,0.80,14.48,7.92,23.33,27.00,30.12,16.79,42.63,42.00,51.91,38.33,63.50,39.00
7-Mar,0.45,0.25,0.99,0.60,13.15,1.00,30.21,11.00,29.87,7.58,49.75,31.00,57.43,35.17,71.88,57.00
8-Mar,0.47,0.25,1.07,0.40,10.49,2.46,43.08,1.00,30.23,7.58,41.21,14.00,59.33,38.58,80.50,76.00
9-Mar,0.51,0.29,1.12,0.50,13.70,2.08,43.42,8.00,28.28,13.04,38.54,48.00,52.53,43.63,60.63,35.00
10-Mar,0.46,0.33,0.76,0.70,9.86,2.33,26.46,11.00,26.54,8.67,43.50,43.00,52.03,33.33,64.50,43.00
11-Mar,0.34,0.23,0.50,1.00,3.62,1.46,7.71,28.00,29.02,11.46,45.58,53.00,64.63,46.25,93.46,28.00
12-Mar,0.44,0.34,0.68,1.00,7.56,2.50,19.36,27.00,27.65,11.21,43.46,36.00,56.36,48.25,66.09,44.00
13-Mar,0.36,0.10,0.61,1.00,7.34,1.42,20.46,25.00,26.10,14.25,47.33,35.00,57.06,40.08,77.25,51.00
14-Mar,0.39,0.28,0.51,0.90,4.31,2.00,6.38,28.00,26.31,12.79,33.63,47.00,57.84,41.88,88.36,42.00
15-Mar,0.49,0.25,0.67,0.40,9.86,3.58,25.75,6.00,19.38,8.25,40.68,24.00,51.95,27.46,72.04,55.00
16-Mar,0.61,0.21,1.13,0.50,20.74,1.54,48.38,1.00,21.33,10.71,30.96,8.00,48.70,30.88,83.04,72.00
