DAY,O318,O319,O320,O321,CO18,CO19,CO20,CO21,NO18,NO19,NO20,NO21,NO218,NO219,NO220,NO221
1-Mar,53,41,43,49,0,1.53,0.73,0.36,8,68,9,13,40,59,41,30
2-Mar,72,64,41,67,0,0.84,0.79,0.23,3,23,22,2,28,45,45,14
3-Mar,43,79,58,72,0,0.6,0.72,0.26,20,3,23,2,37,23,28,18
4-Mar,38,59,66,43,0,0.81,0.45,0.57,14,17,2,17,39,45,24,48
5-Mar,38,54,35,34,0,1.13,0.77,0.79,32,41,16,33,35,51,43,52
6-Mar,56,63,39,64,0,0.83,0.82,0.31,8,23,27,10,22,55,42,31
7-Mar,64,49,57,71,0,0.99,0.6,0.25,12,30,11,1,19,55,31,10
8-Mar,74,47,76,61,0,1.07,0.36,0.3,3,43,1,5,14,58,14,24
9-Mar,44,53,35,61,0,1.12,0.53,0.35,9,43,8,6,29,49,48,30
10-Mar,47,65,43,60,0,0.76,0.65,0.4,7,11,11,11,25,40,43,39
11-Mar,46,93,28,69,0,0.5,1,0.27,8,2,28,2,24,17,53,15
12-Mar,48,66,44,62,0,0.68,0.96,0.37,10,19,27,7,19,33,36,29
13-Mar,77,0,51,49,0.26,0.1,1.05,0.45,3,0,25,12,10,0,35,36
14-Mar,73,88,42,42,0.28,0.37,0.94,0.45,3,2,28,5,13,27,47,32
15-Mar,60,62,55,72,0.34,0.67,0.38,0.25,4,7,6,4,19,36,24,17
16-Mar,31,53,72,83,0.55,1.13,0.46,0.21,11,48,1,2,31,44,8,13
17-Mar,53,60,64,71,0.53,0.96,0.75,0.23,11,24,4,3,21,45,20,19
18-Mar,62,57,51,71,0.35,0.85,0.93,0.24,4,24,19,4,15,44,35,23
19-Mar,55,58,73,57,0.35,0.8,0.63,0.29,5,23,1,7,20,46,17,30
20-Mar,64,63,49,47,0.32,0.72,0.98,0.33,4,14,20,4,18,33,40,25
21-Mar,53,103,62,55,0.46,0.51,0.78,0.3,8,1,7,1,19,12,42,16
22-Mar,71,98,69,61,0.31,0.56,0.44,0.32,3,1,1,5,14,15,29,27
23-Mar,76,104,44,62,0.31,0.55,0.34,0.29,4,1,6,3,14,16,33,20
24-Mar,86,104,41,82,0.25,0.55,0.36,0.23,2,1,3,2,10,14,21,12
25-Mar,77,92,61,82,0.3,0.61,0.39,0.26,4,2,1,1,13,32,6,12
26-Mar,79,58,49,54,0.27,0.98,0.37,0.45,3,27,1,14,13,60,13,38
27-Mar,57,72,45,65,0.4,0.84,0.26,0.48,8,18,2,10,19,36,20,37
