DAY,COMEAN,COMIN,COMAX,CO20,C021,O3MEAN,O3MIN,O3MAX,O320,O321,NOMEAN,NOMIN,NOMAX,NO20,NO21,N02MEAN,NO2MIN,NO2MAX,NO220,N0221
1-Mar,0.9,0.5,1.5,0.7,0.4,43,30,53,43,49,33,7,68,9,13,42,34,59,41,30
2-Mar,0.6,0.4,0.8,0.8,0.2,60,47,72,41,67,12,3,23,22,2,35,28,45,45,14
3-Mar,0.6,0.5,0.6,0.7,0.3,51,31,79,58,72,16,3,27,23,2,35,23,52,28,18
4-Mar,0.6,0.4,0.8,0.4,0.6,47,38,59,66,43,16,13,18,2,17,40,26,49,24,48
5-Mar,0.7,0.4,1.1,0.8,0.8,49,38,57,35,34,23,5,41,16,33,38,25,51,43,52
6-Mar,0.6,0.5,0.8,0.8,0.3,53,38,63,39,64,16,8,23,27,10,36,22,55,42,31
7-Mar,0.6,0.3,1,0.6,0.3,58,49,72,57,71,17,5,30,11,1,30,17,55,31,10
8-Mar,0.6,0.3,1.1,0.4,0.3,65,47,81,76,61,14,3,43,1,5,29,14,58,14,24
9-Mar,0.6,0.3,1.1,0.5,0.4,51,44,58,35,61,17,9,43,8,6,35,29,49,48,30
10-Mar,0.5,0.3,0.8,0.7,0.4,54,44,65,43,60,7,6,11,11,11,31,25,40,43,39
11-Mar,0.4,0.3,0.5,1,0.3,63,46,93,28,69,5,2,8,28,2,22,17,28,53,15
12-Mar,0.5,0.4,0.7,1,0.4,55,48,66,44,62,10,4,19,27,7,24,17,33,36,29
13-Mar,0.3,0.1,0.6,1,0.5,57,40,77,51,49,9,3,20,25,12,23,10,36,35,36
14-Mar,0.4,0.3,0.5,0.9,0.5,64,42,88,42,42,4,2,6,28,5,22,13,30,47,32
15-Mar,0.5,0.3,0.7,0.4,0.2,54,39,62,55,72,5,4,7,6,4,26,18,36,24,17
16-Mar,0.7,0.3,1.1,0.5,0.2,46,31,59,72,83,22,3,48,1,2,32,14,44,8,13
17-Mar,0.6,0.4,1,0.8,0.2,51,46,60,64,71,16,4,24,4,3,31,21,45,20,19
18-Mar,0.5,0.3,0.8,0.9,0.2,52,34,62,51,71,13,4,24,19,4,31,15,44,35,23
19-Mar,0.5,0.4,0.8,0.6,0.3,56,48,61,73,57,11,5,23,1,7,31,20,46,17,30
20-Mar,0.7,0.3,0.8,1,0.3,52,32,64,49,47,20,4,36,20,4,34,18,53,40,25
21-Mar,0.6,0.5,0.7,0.8,0.3,59,34,103,62,55,15,1,28,7,1,30,12,54,42,16
22-Mar,0.5,0.3,0.7,0.4,0.3,67,46,98,69,61,10,1,21,1,5,25,14,36,29,27
23-Mar,0.5,0.3,0.6,0.3,0.3,71,44,104,44,62,8,1,21,6,3,25,14,45,33,20
24-Mar,0.5,0.3,0.7,0.4,0.2,74,42,104,41,82,8,1,27,3,2,24,10,53,21,12
25-Mar,0.5,0.3,0.7,0.4,0.3,70,52,92,61,82,7,2,20,1,1,27,13,48,6,12
26-Mar,0.5,0.3,1,0.4,0.4,59,48,79,49,54,12,3,27,1,14,32,13,60,13,38
27-Mar,0.5,0.3,0.8,0.3,0.5,61,45,72,45,65,8,3,18,2,10,23,12,36,20,37
28-Mar,0.4,0.3,0.5,0.5,0.5,67,50,97,51,65,5,1,11,5,4,20,17,28,18,34
29-Mar,0.5,0.3,0.8,0.6,0.5,69,39,105,46,58,18,1,41,4,26,26,11,46,21,46
30-Mar,0.6,0.5,0.8,0.7,0.2,65,37,111,47,98,15,2,39,19,1,28,10,40,29,14
31-Mar,0.5,0.3,0.7,0.7,0.2,70,36,107,72,87,11,1,36,15,2,21,11,37,23,15
1-Apr,0.4,0.2,0.6,0.5,0.3,73,35,91,75,71,10,2,28,1,2,22,6,36,17,28
2-Apr,0.4,0.3,0.6,0.6,0.6,69,38,99,76,49,7,3,14,1,32,27,14,34,13,45
3-Apr,0.5,0.4,0.6,0.5,0.4,62,40,107,59,61,11,1,23,2,18,30,21,47,23,32
4-Apr,0.5,0.5,0.6,0.2,0.2,63,47,97,70,85,7,2,9,1,1,34,29,39,11,16
5-Apr,0.6,0.5,0.7,0.2,0.3,53,37,81,74,42,16,10,26,1,7,39,30,44,6,28
6-Apr,0.5,0.3,0.7,0.3,0.3,63,43,93,86,64,13,1,29,1,4,30,17,48,10,21
7-Apr,0.5,0.3,0.7,0.4,0.2,65,44,91,86,87,13,3,36,1,4,32,12,52,8,22
8-Apr,0.4,0.3,0.6,0.7,0,76,60,96,93,0,6,2,18,1,0,24,6,44,9,0
9-Apr,0.4,0.3,0.5,0.9,0,79,55,100,92,0,3,1,5,1,0,21,10,29,12,0
10-Apr,0.4,0.3,0.5,0.9,0.3,66,55,92,84,100,5,2,8,1,1,24,17,29,23,22
11-Apr,0.5,0.3,0.6,0.8,0.3,57,19,81,60,80,6,3,14,11,2,28,20,39,44,27
12-Apr,0.6,0.5,0.7,0.8,0.4,50,47,53,96,68,14,11,18,1,17,44,32,53,18,40
13-Apr,0.7,0.5,0.9,0.5,0.4,50,39,62,71,60,22,16,25,9,20,48,44,54,40,44
14-Apr,0.7,0.5,1,0.7,0.4,52,29,64,81,59,20,5,35,16,20,39,25,51,37,39
15-Apr,0.5,0.3,0.8,0.4,0.3,63,46,92,75,73,15,3,37,5,12,32,11,43,24,30
16-Apr,0.5,0.4,0.6,0.5,0.2,64,50,90,77,82,7,2,15,1,1,26,19,40,10,18
17-Apr,0.5,0.3,0.9,0.6,0.2,55,46,65,62,90,12,4,28,4,1,33,18,54,27,11
