DAY,BENMEAN,BENMIN,BENMAX,BEN2O,COMEAN,COMIN,COMAX,CO2O,NOMEAN,NOMIN,NOMAX,NO2O,NO2MEAN,NO2MIN,NO2MAX,NO22O,O3MEAN,O3MIN,O3MAX,O32O,SO2MEAN,SO2MIN,SO2MAX,SO2O
1-Mar,4.643571429,1.225,8.647083333,3.6,1.221527778,0.4375,1.779166667,1.1,81.32427536,18.625,150.4583333,89.5,42.39779589,84.8,150.4583333,89.1,10.63982372,3.333333333,21.54166667,8.9,5.511904762,2.541666667,8.25,18.6
2-Mar,3.237075265,1.0625,5.723333333,4,0.922916667,0.5875,1.6375,1.1,55.2797619,22.41666667,100.4583333,94.4,30.33204365,66.4,100.4583333,86.8,8.541666667,1.875,23.16666667,7.7,5.25,2.083333333,7.25,20.3
3-Mar,4.987152778,1.416666667,10.02583333,3.7,1.410416667,0.829166667,1.979166667,0.7,85.36850649,18.45833333,169.1666667,55.4,46.06211219,50.4,169.1666667,67,14.16666667,1.125,42.08333333,21.1,6.678571429,2.708333333,14.08333333,16.3
4-Mar,5.273809524,1.06,7.675,2.3,1.640277778,1.045833333,3.116666667,0.7,96.11904762,52.45833333,121.875,57,45.8281746,77.2,121.875,60.7,16.68229167,1.083333333,68.08333333,28.7,7.660714286,5.583333333,15.04166667,18.1
5-Mar,5.701180556,3.96875,8.8625,3.4,1.381944444,0.975,1.8625,1,97.63095238,60.20833333,125.875,84.4,47.92946429,47.2,125.875,82,15.06770833,1,55.5,9.8,7.196428571,5.541666667,9.791666667,19.7
6-Mar,4.329362745,1.508333333,6.668333333,4.6,1.166351794,0.7625,1.426086957,1.3,81.07088745,33.375,108.5833333,125.5,37.84255129,65.4,108.5833333,91.8,19.515625,1.125,57.41666667,5.2,6.515269151,5.166666667,7.625,18.4
7-Mar,4.050589054,0.745833333,8.700909091,2.7,0.9375,0.458333333,1.35,0.7,70.44642857,5.25,142.9583333,58.3,36.90079365,67.6,142.9583333,75.9,23.01657197,1.416666667,55,16.4,5.696428571,2.916666667,7.75,16.6
8-Mar,4.219706633,1.465416667,9.729375,1.2,1.047977053,0.325,1.558333333,0.2,72.25750518,18.04166667,154.125,20,41.06375086,46.5,154.125,53.2,23.61979167,1.333333333,57.04166667,28.9,6.078463203,3.590909091,9.75,15.5
9-Mar,3.206597222,1.3125,6.31625,3,0.980555556,0.55,1.529166667,0.8,66.63690476,27.08333333,117.1666667,97.4,35.66934524,61.1,117.1666667,81.6,13.453125,1.583333333,35.25,7.6,6.017857143,3.416666667,11.20833333,17.4
10-Mar,4.372847222,1.870833333,7.02875,4.2,1.323611111,0.820833333,1.708333333,1.3,86.0952381,43.79166667,126.1666667,109.5,43.39365079,75.5,126.1666667,96.6,6.53125,1.25,16.20833333,6.1,6.773809524,4.333333333,11.04166667,18.1
