DAY,2021,2020,2019,2018
1-Mar,62,89,88,85
2-Mar,45,87,84,66
3-Mar,62,67,50,77
4-Mar,97,61,81,77
5-Mar,94,82,90,47
6-Mar,63,92,94,69
7-Mar,25,76,90,79
8-Mar,70,53,90,87
9-Mar,55,82,88,95
10-Mar,88,97,75,92
11-Mar,57,82,66,91
12-Mar,74,78,52,83
13-Mar,82,77,52,80
14-Mar,70,90,67,82
15-Mar,52,42,76,85
16-Mar,59,34,97,90
17-Mar,69,41,95,79
18-Mar,72,55,92,66
19-Mar,78,47,97,81
20-Mar,59,72,72,83
21-Mar,32,92,64,79
22-Mar,70,65,61,48
23-Mar,46,56,61,85
24-Mar,54,43,59,86
25-Mar,37,13,90,68
26-Mar,82,22,109,76
27-Mar,90,38,76,92
29-Mar,87,49,39,83
30-Mar,46,45,40,109
31-Mar,50,44,47,88
1-Apr,66,52,66,58
2-Apr,97,52,44,89
3-Apr,76,35,53,97
4-Apr,54,22,74,111
5-Apr,47,33,73,114
6-Apr,61,47,37,68
7-Apr,75,43,75,56
8-Apr,66,37,75,36
9-Apr,63,48,74,57
10-Apr,64,69,75,102
11-Apr,81,81,81,105
12-Apr,102,41,77,107
13-Apr,96,81,78,107
14-Apr,97,72,73,104
15-Apr,88,45,61,57
16-Apr,45,33,46,83
17-Apr,43,63,84,99
18-Apr,73,61,64,93
19-Apr,89,41,59,82
20-Apr,89,37,53,72
21-Apr,96,23,65,53
22-Apr,102,22,89,103
23-Apr,99,40,91,113
24-Apr,36,64,92,124
25-Apr,48,72,104,124
26-Apr,97,55,107,127
27-Apr,94,74,92,127
28-Apr,90,82,73,52
29-Apr,103,80,74,81
30-Apr,100,64,91,77
1-May,115,49,91,80
2-May,109,63,100,105
3-May,84,32,102,67
4-May,49,61,94,109
5-May,86,78,65,88
6-May,90,87,92,62
7-May,88,45,86,67
8-May,60,73,78,89
9-May,22,97,95,88
10-May,39,90,102,87
11-May,58,83,87,73
12-May,100,89,84,60
13-May,82,104,79,93
14-May,81,112,80,90
15-May,84,122,94,91
16-May,67,133,92,91
17-May,89,119,99,94
18-May,78,133,96,84
19-May,94,120,96,78
20-May,81,94,104,60
21-May,74,79,100,47
22-May,90,32,111,87
23-May,100,69,109,85
24-May,104,78,99,89
25-May,79,60,98,74
26-May,107,52,101,70
27-May,108,73,94,41
28-May,92,80,101,38
29-May,81,84,94,51
30-May,80,82,96,66
31-May,85,79,99,66
