DAY,2021,2020,2018
1-Mar,20,27,4
2-Mar,30,9,9
3-Mar,26,8,2
4-Mar,5,21,2
5-Mar,1,29,12
6-Mar,14,10,5
7-Mar,35,5,4
8-Mar,9,16,3
9-Mar,23,29,2
10-Mar,8,8,1
11-Mar,18,6,1
12-Mar,16,9,2
13-Mar,3,15,2
14-Mar,5,18,1
15-Mar,22,6,1
16-Mar,24,35,1
17-Mar,16,45,4
18-Mar,17,44,7
19-Mar,10,32,3
20-Mar,9,46,2
21-Mar,21,23,2
22-Mar,10,20,20
23-Mar,29,32,2
24-Mar,30,20,2
25-Mar,46,21,12
26-Mar,14,48,9
27-Mar,10,32,5
28-Mar,12,22,9
29-Mar,10,23,10
30-Mar,47,22,4
31-Mar,37,31,4
1-Apr,28,53,19
2-Apr,3,37,10
3-Apr,12,39,6
4-Apr,20,45,2
5-Apr,14,50,2
6-Apr,15,36,23
7-Apr,20,47,23
8-Apr,24,49,45
9-Apr,29,64,39
10-Apr,32,55,5
11-Apr,15,37,3
12-Apr,5,25,2
13-Apr,7,63,2
14-Apr,3,30,5
15-Apr,12,41,30
16-Apr,44,51,13
17-Apr,48,46,4
18-Apr,12,27,10
19-Apr,10,24,12
20-Apr,26,34,18
21-Apr,22,33,32
22-Apr,15,53,8
23-Apr,22,60,3
24-Apr,43,54,2
25-Apr,40,38,2
26-Apr,15,23,2
27-Apr,14,40,2
28-Apr,11,27,46
29-Apr,3,17,20
30-Apr,4,22,11
1-May,4,18,9
2-May,8,29,6
3-May,1,22,31
4-May,22,38,5
5-May,4,27,5
6-May,8,25,10
7-May,2,14,6
8-May,23,45,2
9-May,57,27,2
10-May,55,14,2
11-May,39,13,9
12-May,11,11,18
13-May,6,12,7
14-May,7,4,3
15-May,3,3,2
16-May,12,3,2
17-May,6,2,2
18-May,5,7,1
19-May,2,7,7
20-May,5,6,11
21-May,15,4,27
22-May,5,12,13
23-May,9,46,12
24-May,1,28,3
25-May,6,23,8
26-May,1,34,19
28-May,6,18,28
29-May,6,20,28
31-May,12,26,23
