DAY,SO218,SO219,SO220,SO21,O318,O319,O320,O321,CO18,CO19,CO20,CO21,NO18,NO19,NO20,NO21,NO218,NO219,NO220,NO221,BEN18,BEN19,BEN20,BEN21
1-Mar,8,3,19,3,4,3,9,20,1.3,0,1.1,0.9,84,99,90,44,85,88,89,62,3.25,7.11,3.6,1.75
2-Mar,6,5,20,2,9,6,8,30,1.1,0,1.1,0.6,50,76,94,22,66,84,87,45,3.06,5.53,4.01,1.06
3-Mar,14,3,16,3,2,27,21,26,1.7,0,0.7,0.8,117,18,55,30,77,50,67,62,7.23,0,3.74,1.42
4-Mar,15,6,18,8,2,8,29,5,1.5,0,0.7,3.1,114,86,57,122,77,81,61,97,6.36,6.22,2.32,7.67
5-Mar,10,6,20,6,12,2,10,1,1,0,1,1.9,60,126,84,126,47,90,82,94,4.3,8.86,3.36,4.74
6-Mar,8,6,18,5,5,4,5,14,1.1,0,1.3,0.8,57,101,126,33,69,94,92,63,4.57,5.52,4.57,1.51
7-Mar,8,6,17,3,4,1,16,35,1.3,0,0.7,0.5,96,143,58,5,79,90,76,25,5.83,8.7,2.69,0.74
8-Mar,8,8,15,4,3,1,29,9,1.1,0,0.2,1.1,69,154,20,66,87,90,53,70,4.66,9.73,1.18,2.27
9-Mar,11,6,17,4,2,2,8,23,1.5,0,0.8,0.7,117,106,97,29,95,88,82,55,6.32,0,2.98,1.31
10-Mar,11,4,18,7,1,6,6,8,1.6,0,1.3,1.4,120,59,109,82,92,75,97,88,7.03,0,4.16,2.94
11-Mar,10,4,18,4,1,15,9,18,1.4,0,1.4,0.8,102,39,121,34,91,66,82,57,6.2,0,5.1,1.44
12-Mar,10,5,17,4,2,15,15,16,1.4,0,1.1,1.1,104,44,80,60,83,52,78,74,6.31,1.65,4.13,2.16
13-Mar,7,3,18,6,2,15,18,3,1,0,1.4,1.5,65,41,112,83,80,52,77,82,4.34,0.45,5.39,3.37
14-Mar,7,0,19,5,1,9,6,5,1.1,0,1.5,1.1,90,70,130,48,82,67,90,70,5.26,0,5.64,2.53
15-Mar,7,0,17,5,1,7,35,22,1.2,0,0.4,1,99,88,31,22,85,76,42,52,5.64,0,1.79,1.41
16-Mar,9,0,14,4,1,4,45,24,1.6,0,0.2,0.8,142,136,10,33,90,97,34,59,7.65,0,0.83,1.14
17-Mar,9,0,15,6,4,8,44,16,1.2,0,0.3,1,96,109,15,51,79,95,41,69,6.03,0,1.09,1.56
18-Mar,7,0,18,5,7,2,32,17,0.7,0,0.8,1,58,128,60,55,66,92,55,72,3.51,0,2.6,1.57
19-Mar,7,0,15,5,3,2,46,10,1,0,0.3,1.2,75,113,10,73,81,97,47,78,4.53,0,1.03,2.31
20-Mar,7,0,18,4,2,13,23,9,1.1,0,0.9,1,83,69,59,49,83,72,72,59,5.08,0,2.91,2.03
21-Mar,7,0,19,4,2,33,20,21,1,0,0.9,0.6,78,15,43,16,79,64,92,32,5.07,0,2.88,1.17
22-Mar,5,0,16,5,20,37,32,10,0.3,0,0.5,1,11,14,17,57,48,61,65,70,1.42,0,1.77,2.01
23-Mar,6,0,10,4,2,47,20,29,1,0,0.4,0.7,71,11,28,25,85,61,56,46,6.01,0,1.6,1.17
24-Mar,6,0,3,4,2,47,21,30,0.8,0,0.2,0.8,55,7,28,28,86,59,43,54,3.94,0,1.22,1.19
25-Mar,5,0,2,3,12,24,48,46,0.6,0,0.1,0.6,39,37,3,9,68,90,13,37,2.65,0,0.55,0.72
26-Mar,5,0,2,6,9,3,32,14,0.9,0,0.1,1.3,60,137,8,67,76,109,22,82,3.48,0,0.72,2.14
27-Mar,9,0,3,4,5,18,22,10,1.4,0,0.3,1.3,108,62,32,54,92,76,38,90,0,0,1.23,2.53
28-Mar,9,0,3,4,9,35,23,12,0.9,0,0.3,1.2,69,0,27,35,74,0,48,82,4.27,0,1.35,2.21
29-Mar,6,0,7,4,10,47,22,10,1.1,0,0.3,1.5,64,17,20,87,83,39,49,87,5.27,0,1.5,3.53
30-Mar,10,0,5,3,4,44,31,47,1.6,0,0.6,0.6,106,19,48,12,109,40,45,46,7.96,0,2.21,0.81
31-Mar,10,0,3,3,4,40,53,37,1.3,0,0.2,0.7,96,22,8,17,88,47,44,50,7.1,0,0.98,0.85
1-Apr,7,0,3,4,19,28,37,28,0.4,0,0.3,1,25,45,19,46,58,66,52,66,2.25,0,1.2,1.61
2-Apr,8,3,4,7,10,43,39,3,1,0,0.3,2,72,14,18,124,89,44,52,97,5.28,0,1.1,4.56
3-Apr,9,4,3,4,6,42,45,12,1.6,0,0.2,1.1,121,30,11,44,97,53,35,76,8.04,0,0.89,2.05
4-Apr,15,5,3,4,2,18,50,20,1.6,0,0.1,0.7,122,50,4,24,111,74,22,54,8.82,0,0.73,1.3
5-Apr,17,6,3,4,2,15,36,14,1.8,0,0.1,0.8,140,61,11,40,114,73,33,47,9.06,0,0.82,1.59
6-Apr,13,5,2,5,23,12,47,15,0.6,0,0.2,1,36,20,14,46,68,37,47,61,3.13,0,0.98,1.87
7-Apr,6,5,2,5,23,9,49,20,0.5,0,0.2,1.1,29,52,15,49,56,75,43,75,2.72,0,0.75,1.94
8-Apr,4,6,2,4,45,5,64,24,0.2,0,0.2,0.9,9,68,6,37,36,75,37,66,1.29,0,0.6,1.51
9-Apr,3,6,3,3,39,8,55,29,0.4,0,0.3,0.9,19,55,14,28,57,74,48,63,1.92,0,0.88,1.27
10-Apr,10,6,3,3,5,8,37,32,1.2,0,0.6,0.9,89,70,35,25,102,75,69,64,6.01,0,1.64,1.29
11-Apr,14,5,5,4,3,7,25,15,1.7,0,0.7,1.1,144,70,42,35,105,81,81,81,8.77,0,2.37,2.01
12-Apr,14,6,3,4,2,4,63,5,1.7,0,0.3,1.5,133,79,6,82,107,77,41,102,8.77,0,1.17,2.96
13-Apr,15,7,3,6,2,7,30,7,1.8,0,0.6,1.5,133,84,42,96,107,78,81,96,8.94,0,1.9,3.31
14-Apr,16,8,8,5,5,5,41,3,1.5,0,0.6,1.5,96,113,50,90,104,73,72,97,7.6,0,2.22,3.1
15-Apr,11,7,3,5,30,10,51,12,0.4,0,0.2,1.3,16,60,13,67,57,61,45,88,2.39,0,0.93,2.41
16-Apr,10,4,2,3,13,14,46,44,1.1,0,0.2,0.6,70,25,8,14,83,46,33,45,5.5,0,0.69,0.94
17-Apr,15,7,6,3,4,0,27,48,1.4,0,0.4,0.6,100,105,25,11,99,84,63,43,7.23,0,1.28,1.01
18-Apr,12,5,6,4,10,0,24,12,1.4,0,0.4,1.1,95,46,26,43,93,64,61,73,7.1,0,1.6,2.24
19-Apr,9,4,6,5,12,0,34,10,0.9,0,0.2,1.3,53,23,12,73,82,59,41,89,4.08,0,1.29,2.89
20-Apr,11,6,5,4,18,0,33,26,0.9,0,0.1,1,68,27,11,45,72,53,37,89,5.38,0,0.77,1.75
21-Apr,4,6,2,5,32,0,53,22,0.4,0,0.1,1.2,18,24,5,55,53,65,23,96,1.97,0,0.57,2.1
22-Apr,10,8,2,5,8,0,60,15,1,0,0.1,1.4,72,85,4,75,103,89,22,102,5.25,0,0.51,2.75
23-Apr,14,7,2,4,3,0,54,22,1.7,0,0.3,1.4,123,71,12,74,113,91,40,99,8.63,0,0.77,2.82
24-Apr,18,7,2,3,2,0,38,43,1.9,0,0.5,0.5,136,76,21,12,124,92,64,36,9.58,0,1.16,0.77
25-Apr,18,7,5,3,2,0,23,40,1.9,0,0.6,0.6,148,119,34,12,124,104,72,48,10.31,0,1.86,0.95
26-Apr,18,7,4,4,2,0,40,15,1.9,0,0.3,1.3,142,72,11,58,127,107,55,97,10.15,0,1.17,2.5
27-Apr,20,7,5,6,2,0,27,14,1.9,0,0.6,1.2,136,74,46,64,127,92,74,94,10.5,0,1.91,2.57
28-Apr,11,7,5,5,46,0,17,11,0.4,0,0.7,1.3,14,41,52,74,52,73,82,90,2.13,0,2.08,2.85
29-Apr,9,7,4,5,20,0,22,3,0.6,0,0.6,1.7,27,28,40,102,81,74,80,103,3.14,0,1.84,4.38
30-Apr,10,8,4,6,11,0,18,4,0.8,0,0.5,1.5,47,50,38,76,77,91,64,100,3.29,0,1.54,3.76
1-May,11,8,5,8,9,0,29,4,0.8,0,0.2,1.7,48,29,12,84,80,91,49,115,0,0,0.93,4.54
2-May,14,8,6,6,6,0,22,8,1.5,0,0.4,2.4,98,51,25,59,105,100,63,109,7.93,0,1.27,6.97
3-May,11,8,4,6,31,0,38,1,0.7,0,0.1,1.5,37,57,7,70,67,102,32,84,3.87,0,0.61,3.86
4-May,14,8,3,4,5,0,27,22,1.7,0,0.6,0.7,98,56,32,17,109,94,61,49,7.81,0,1.68,0
5-May,14,8,3,6,5,0,25,4,1.1,0,0.7,1.3,67,23,36,76,88,65,78,86,0,0,2,3.12
6-May,10,8,5,6,10,0,14,8,0.6,0,0.8,1.3,44,61,58,71,62,92,87,90,0,0,2.59,2.74
7-May,8,8,3,6,6,0,45,2,1,0,0.3,1.6,66,43,10,94,67,86,45,88,6.88,0,0.98,3.69
8-May,12,7,3,7,2,0,27,23,1.8,0,0.6,0.8,118,42,33,33,89,78,73,60,9.24,0,1.93,1.68
9-May,14,8,4,3,2,0,14,57,1.7,0,0.9,0.4,117,63,47,3,88,95,97,22,8.67,0,2.54,0.36
10-May,14,8,5,3,2,3,13,55,1.4,1.5,0.8,0.6,100,68,35,11,87,102,90,39,7.32,0,2.64,0.64
11-May,11,8,4,4,9,3,11,39,1.1,1.2,0.9,0.8,71,78,58,20,73,87,83,58,5.42,0,2.96,0.97
12-May,8,8,4,6,18,4,12,11,0.6,1,0.9,1.5,31,67,61,83,60,84,89,100,0,0,3.44,3.2
13-May,9,8,6,7,7,10,4,6,1,1.4,1.4,1.3,60,63,102,75,93,79,104,82,0,0,5.36,2.79
14-May,11,8,5,6,3,12,3,7,1.5,0,1.4,1.2,92,62,100,60,90,80,112,81,7.93,0,5.35,2.14
15-May,14,9,6,6,2,4,3,3,1.6,0,2.1,1.3,112,82,148,72,91,94,122,84,8.37,0,9.56,2.76
16-May,15,8,7,6,2,4,2,12,1.8,2,2.2,0.8,132,83,140,30,91,92,133,67,9.22,0,10.17,1.38
17-May,16,7,5,6,2,4,7,6,1.6,2.2,1.4,1.4,118,90,73,71,94,99,119,89,8.45,0,5.81,3.26
18-May,16,7,5,6,1,4,7,5,1.6,2.2,1.3,1.2,123,93,81,69,84,96,133,78,8.52,0,5.56,2.42
19-May,14,6,5,6,7,6,6,2,1.2,1.8,1.2,1.5,78,54,72,85,78,96,120,94,6.38,0,4.6,2.81
20-May,10,7,6,6,11,3,4,5,0.6,2.3,1.1,1.3,37,102,82,51,60,104,94,81,3.87,0,3.96,2.56
21-May,7,8,6,5,27,3,12,15,0.4,2.3,0.8,1,13,102,53,36,47,100,79,74,0,0,2.64,1.71
22-May,8,8,3,5,13,2,46,5,0.9,2.4,0.2,1.3,51,115,7,55,87,111,32,90,3.97,0,0.71,2.52
23-May,9,8,5,6,12,6,28,9,1.1,2.2,0.7,1.2,63,81,38,45,85,109,69,100,5.6,0,1.83,2.3
24-May,13,7,2,7,3,7,23,1,1.5,2,0.7,1.7,105,59,29,101,89,99,78,104,7.21,0,2.02,5.11
25-May,11,7,2,8,8,7,34,6,1,1.9,0.5,0.9,56,56,22,57,74,98,60,79,5.31,0,1.64,2.57
26-May,8,8,2,8,19,6,29,1,0.5,2,0.5,1.4,17,57,34,83,70,101,52,107,2.88,0,1.52,3.78
27-May,6,8,2,9,25,9,18,0,0.2,2,0.9,1.3,8,84,65,76,41,94,73,108,0,0,2.91,3.33
28-May,5,8,3,9,28,5,20,6,0.3,2.4,1.1,1.1,14,95,83,63,38,101,80,92,0,0,3.44,2.83
