DAY,SO2MEAN,SO2MIN,SO2MAX,SO220,SO221,COMEAN,COMIN,COMAX,CO20,CO21,O3MEAN,O3MIN,O3MAX,OE20,O321,NOMEAN,NOMIN,NOMAX,NO20,NO21,N02MEAN,NO2MIN,NO2MAX,NO220,NO221,BENMEAN,BENMIN,BENMAX,BEN20,BEN21,e
1-Mar,5.3,3.2,7.9,18.6,2.5,1.6,1.3,1.8,1.1,0.9,5.3,3.3,10.1,8.9,20.5,105.7,84.5,150.5,89.5,44.3,87.3,84.8,89.9,89.1,61.6,6.3,3.2,8.6,3.6,1.8,
2-Mar,5.6,4.6,6.4,20.3,2.1,1.2,0.8,1.6,1.1,0.6,10.6,4.7,23.2,7.7,30.3,74.4,49.6,100.5,94.4,22.4,80.5,66.4,88.5,86.8,45.5,4.6,3.1,5.7,4,1.1,
3-Mar,7.5,3.3,14.1,16.3,2.7,1.7,1.5,2,0.7,0.8,10,1.5,27.5,21.1,25.6,99.2,18.5,169.2,55.4,29.7,77.8,50.4,102.5,67,62.2,7.4,4.9,10,3.7,1.4,
4-Mar,8.1,5.6,15,18.1,8.3,1.4,1.2,1.5,0.7,3.1,7.8,1.7,13.8,28.7,4.9,97.3,86.3,113.8,57,121.9,81.4,77.2,90,60.7,97.2,5.9,4.4,6.7,2.3,7.7,
5-Mar,7.5,5.5,9.8,19.7,6,1.2,1,1.3,1,1.9,8.6,2.3,12.4,9.8,1.2,94.3,60.2,125.7,84.4,125.9,78,47.2,93,82,93.5,6.1,4,8.9,3.4,4.7,
6-Mar,6.7,6,7.6,18.4,5.2,1.1,1.1,1.2,1.3,0.8,8.5,4.5,16.8,5.2,14,83.4,56.8,108.6,125.5,33.4,80.6,65.4,94.3,91.8,63.2,5.2,4.1,6.7,4.6,1.5,
7-Mar,5.9,3.6,7.8,16.6,2.9,1,0.7,1.3,0.7,0.5,12.2,1.4,23.8,16.4,34.5,88.2,38.5,143,58.3,5.3,77,67.6,89.6,75.9,24.9,5.4,2.8,8.7,2.7,0.7,
8-Mar,5.8,3.8,7.8,15.5,3.6,0.9,0.3,1.4,0.2,1.1,19.5,1.3,57,28.9,8.8,77.9,18,154.1,20,66.3,73.3,46.5,89.6,53.2,70.2,5,1.5,9.7,1.2,2.3,
9-Mar,6.2,3.4,11.2,17.4,3.5,1,0.6,1.5,0.8,0.7,14.2,1.6,35.3,7.6,23.1,76.8,36.4,117.2,97.4,29.1,76.9,61.1,95.5,81.6,55.3,3.9,2.5,6.3,3,1.3,
10-Mar,6.5,4.3,11,18.1,7.2,1.4,1,1.6,1.3,1.4,7.8,1.3,16.2,6.1,7.9,87.8,59.1,120.3,109.5,81.7,84.5,75.5,91.6,96.6,88.3,5.4,4.4,7,4.2,2.9,
11-Mar,5.8,3.5,10.3,18.2,4.1,1.1,0.6,1.4,1.4,0.8,13.3,1.5,24.8,9.3,17.5,64.7,39.5,101.8,121.4,34.2,76.4,61.8,90.8,82.2,56.9,4.2,2.5,6.2,5.1,1.4,
12-Mar,5.4,2.8,9.8,17,4.5,0.9,0.7,1.4,1.1,1.1,19.7,1.6,34.8,14.7,16.1,54.5,26,104.3,80.1,60,59.5,50.4,82.7,78.1,73.9,3.3,1.9,6.3,4.1,2.2,
13-Mar,4.7,3.4,7,18.1,5.8,0.9,0.5,1.2,1.4,1.5,16.2,2.1,33.3,17.9,3.4,52.2,25,77.7,111.7,82.6,65,44.7,83.1,76.7,81.7,3,1.3,5.9,5.4,3.4,
14-Mar,4.6,3.1,6.8,18.7,4.8,0.8,0.5,1.1,1.5,1.1,11.7,1.5,20.3,5.8,5.2,59.2,19.8,89.5,129.9,47.6,67,45.5,82.3,90.2,70,3.6,1.3,5.3,5.6,2.5,
15-Mar,4.5,2.5,7,16.8,4.6,0.9,0.7,1.2,0.4,1,14.3,1.2,26.5,34.5,21.5,67.5,30.2,98.9,30.8,21.8,68.7,52,84.9,42.3,51.7,3.8,2,5.6,1.8,1.4,
16-Mar,5.7,3.3,9.2,13.8,4.3,1.2,0.6,1.6,0.2,0.8,12.2,1.3,30,44.8,23.5,100,15.8,141.9,9.6,32.6,79.5,41,97.2,34.5,58.5,5.3,1.5,7.7,0.8,1.1,
17-Mar,6.3,4.2,8.7,15.3,6.3,1.1,0.9,1.2,0.3,1,13.4,4.2,21.4,43.6,16.3,89,48.7,109.4,15.3,50.8,81,68.2,95.4,41.3,68.9,4.8,2.5,6,1.1,1.6,
18-Mar,5.8,4.2,7.2,17.5,4.8,1.2,0.7,1.7,0.8,1,6.9,2.4,14.9,32.3,17.2,100.4,58.3,130.4,59.5,54.9,83,65.5,92,55.3,72.2,4.7,3.5,5.7,2.6,1.6,
19-Mar,5.8,4,7.3,15.2,4.7,1.1,0.8,1.5,0.3,1.2,9.2,2.2,23.3,46,9.8,85.2,58.9,112.5,10.3,73.1,86.3,77.1,96.8,46.8,77.5,4.4,3.4,5.1,1,2.3,
20-Mar,7,6.3,7.3,18.1,3.7,1.6,1.1,2,0.9,1,8.1,2.1,12.6,22.6,8.5,101,69.1,152.5,59,49.1,87,71.9,111.8,71.7,58.9,7.1,5.1,9.8,2.9,2,
21-Mar,7.3,7.2,7.3,18.8,3.9,1.5,1,1.9,0.9,0.6,12,2.1,33.2,19.5,21.4,88,14.6,131.9,42.9,16,86.7,63.5,106.3,91.6,32.2,6.8,5.1,8.3,2.9,1.2,
22-Mar,4.9,4.4,5.7,16,5,0.8,0.3,1.5,0.5,1,25.8,10.5,37,32,9.6,38.3,11.4,91,17.4,56.5,63.7,47.9,80.4,64.7,70.2,3.2,1.4,5.4,1.8,2,
23-Mar,5,4.2,6,10.2,4.3,0.8,0.6,1,0.4,0.7,26.2,1.5,47,20.1,28.8,42,11.2,70.7,27.6,24.8,70.1,56.1,84.5,55.6,45.6,3.8,1.9,6,1.6,1.2,
24-Mar,5.6,4.9,6.3,3,3.9,1.2,0.8,1.4,0.2,0.8,19.5,2.1,46.6,21.3,30.3,60.8,7.2,114.7,27.8,28.3,80.5,58.7,102.8,42.8,53.6,4.7,3.9,6,1.2,1.2,
