Day,NO,NO2,O3
1-Mar,1.541666667,10.125,80.625
2-Mar,1.666666667,15.66666667,71.4583333
3-Mar,1.375,8.833333333,85.2916667
4-Mar,1.083333333,7.083333333,80.7916667
5-Mar,2.125,8.041666667,66.9166667
6-Mar,2.208333333,11.875,76.9166667
7-Mar,1.041666667,8.291666667,83.4583333
8-Mar,1.083333333,6.291666667,81.4166667
9-Mar,1.230769231,11.76923077,68.4166667
10-Mar,0,0,76.6666667
11-Mar,0,0,77.9583333
12-Mar,0,0,91
13-Mar,0,0,82.9583333
14-Mar,0,0,83.875
15-Mar,0,0,76.5833333
16-Mar,1,2,65.4545455
17-Mar,1.083333333,3.291666667,79.875
18-Mar,1,2.916666667,94.6666667
19-Mar,1,2.125,93.375
20-Mar,1.083333333,2.875,107.25
21-Mar,1.125,8.166666667,114.75
22-Mar,1.166666667,8.125,109.875
23-Mar,1.125,4.291666667,76.125
24-Mar,1.708333333,5.541666667,57.9583333
25-Mar,1,3.416666667,65.1666667
26-Mar,1.041666667,3.958333333,65.625
27-Mar,1.25,5.916666667,63.4583333
28-Mar,1.416666667,5,64.5416667
29-Mar,1.217391304,4.434782609,70.5652174
30-Mar,1.166666667,3.083333333,90.0833333
31-Mar,1,2.5,104.958333
1-Apr,1.142857143,3.142857143,84.25
2-Apr,1.090909091,2.363636364,87.3333333
3-Apr,1,2.625,79.5416667
4-Apr,1,2.583333333,84.875
5-Apr,1.166666667,4.375,75.1666667
6-Apr,1,5.458333333,78.8333333
7-Apr,1,2.875,78.9583333
8-Apr,1,3.625,84.5833333
9-Apr,1,2.708333333,93.7916667
10-Apr,1,2.375,121.333333
11-Apr,1,2.791666667,130.25
12-Apr,1.25,3.041666667,137.875
13-Apr,2.041666667,11.45833333,117.208333
14-Apr,2.416666667,16.45833333,121.583333
15-Apr,1.375,5.333333333,88.9166667
16-Apr,1,2.958333333,79.5416667
17-Apr,1.833333333,10.70833333,85.875
18-Apr,1.666666667,10.58333333,90.4583333
19-Apr,1.458333333,10.20833333,100.041667
20-Apr,1.291666667,7.75,92.625
21-Apr,1.041666667,3.125,92.75
22-Apr,1.083333333,3.375,82.2083333
23-Apr,1.041666667,4.125,86.9583333
24-Apr,1,3.041666667,95.7916667
25-Apr,1.625,8.333333333,106.375
26-Apr,1.5,8.541666667,96.4583333
27-Apr,1.166666667,5.041666667,96.7916667
28-Apr,1.833333333,10.91666667,109.875
29-Apr,2.25,16.45833333,93.4166667
30-Apr,1.833333333,8.625,86.125
1-May,1.791666667,7.625,86.5
2-May,1.833333333,9.583333333,86.4166667
3-May,1,1.75,88.3333333
4-May,1.166666667,3.5,92.625
5-May,1.291666667,7.041666667,103.791667
6-May,2.916666667,16.91666667,82.6666667
7-May,1.5,6.625,87.0833333
8-May,1.25,3.875,103.916667
9-May,2.083333333,9.75,119
10-May,1.291666667,6.541666667,109.666667
11-May,3.083333333,15.79166667,99.7083333
12-May,2,16.58333333,100
13-May,2.125,16.125,110.041667
14-May,2.125,16.29166667,123.166667
15-May,2.333333333,25.45833333,110.958333
16-May,1.125,4.416666667,98.1666667
17-May,1.217391304,6.608695652,125.913043
18-May,1.583333333,4.958333333,99.875
19-May,1.5,5.583333333,100.041667
20-May,2.125,10.5,101.083333
21-May,1.833333333,6.875,96.4166667
22-May,1.208333333,3.416666667,79.5
23-May,1.25,3.458333333,97
24-May,2.25,10.83333333,100.25
25-May,1.291666667,3.75,93.125
26-May,1.125,2.375,90.2916667
27-May,1,2,91.6666667
28-May,1.625,5.333333333,83.2916667
29-May,1.869565217,9.826086957,78.3913043
30-May,1.333333333,6.666666667,93.375
31-May,1.375,7.333333333,91.375
