DAY,NO20,NOMEAN,NOMIN,NOMAX,NO220,NO2MEAN,NO2MIN,NO2MAX,O320,O3MEAN,O3MIN,O3MAX,PM2520,PM25MEAN,PM25MIN,PM25MAX
1-Mar,1.54,3.27,1.29,5.09,10.13,13.91,11.00,19.70,80.63,84.81,63.25,98.17,13.17,28.86,5.09,80.63
2-Mar,1.67,2.47,1.08,5.13,15.67,9.24,4.38,13.38,71.46,47.93,14.58,82.83,15.58,24.45,4.38,71.46
3-Mar,1.38,2.78,1.13,5.29,8.83,8.60,5.46,10.50,85.29,44.99,1.42,88.42,10.38,27.03,5.29,85.29
4-Mar,1.08,2.42,1.04,4.96,7.08,5.51,2.29,8.71,80.79,68.24,18.42,94.28,8.17,24.19,2.29,80.79
5-Mar,2.13,2.67,1.04,5.21,8.04,8.29,2.83,11.25,66.92,42.30,1.38,84.58,8.17,21.77,2.83,66.92
6-Mar,2.21,2.71,1.71,4.67,11.88,12.19,10.54,13.46,76.92,85.24,71.29,92.13,8.88,26.22,4.67,76.92
7-Mar,1.04,2.94,1.88,5.00,8.29,10.10,7.38,13.71,83.46,67.96,18.88,98.92,10.08,27.46,5.00,83.46
8-Mar,1.08,2.37,1.04,4.96,6.29,5.26,2.83,9.17,81.42,72.94,18.83,115.88,21.42,24.56,2.83,81.42
9-Mar,1.23,2.58,1.00,5.04,11.77,6.33,2.54,12.67,68.42,70.43,16.42,99.58,9.29,22.51,2.54,68.42
10-Mar,0.00,2.49,1.00,4.83,0.00,7.56,3.32,13.04,76.67,70.40,16.17,96.96,9.04,24.57,3.32,76.67
11-Mar,0.00,2.76,1.00,5.25,0.00,11.72,3.75,17.88,77.96,86.05,78.58,88.79,10.79,26.62,3.75,77.96
12-Mar,0.00,3.16,1.08,4.96,0.00,7.79,2.83,15.90,91.00,79.62,63.42,93.78,10.25,28.73,2.83,91.00
13-Mar,0.00,2.51,1.08,4.92,0.00,5.40,2.54,8.50,82.96,86.92,67.13,113.42,6.71,24.57,2.54,82.96
14-Mar,0.00,2.46,1.18,5.00,0.00,3.64,2.91,4.04,83.88,89.39,72.63,117.27,9.38,23.67,2.91,83.88
15-Mar,0.00,2.63,1.17,4.75,0.00,4.97,4.21,6.42,76.58,88.30,76.25,119.54,12.83,22.96,4.21,76.58
16-Mar,1.00,3.06,2.00,4.88,2.00,11.68,2.75,26.75,65.45,39.65,9.29,84.42,7.08,24.88,2.00,65.45
17-Mar,1.08,2.32,1.00,4.91,3.29,5.67,4.33,8.21,79.88,70.13,16.38,114.58,7.83,23.98,3.29,79.88
18-Mar,1.00,2.38,1.00,4.21,2.92,12.26,5.96,18.08,94.67,55.18,13.13,92.46,9.92,30.50,2.92,94.67
19-Mar,1.00,2.96,1.79,5.26,2.13,11.64,6.63,15.67,93.38,56.25,1.29,89.28,10.00,29.39,2.13,93.38
20-Mar,1.08,3.35,1.04,4.79,2.88,11.24,6.38,19.00,107.25,38.99,11.63,93.67,12.54,33.86,2.88,107.25
21-Mar,1.13,2.51,1.25,5.04,8.17,11.44,5.83,19.50,114.75,65.40,16.58,96.25,21.83,36.73,5.04,114.75
22-Mar,1.17,2.31,1.00,4.92,8.13,5.81,1.79,13.46,109.88,74.50,16.96,118.67,21.63,32.57,1.79,109.88
23-Mar,1.13,2.29,1.00,4.83,4.29,6.38,2.29,10.58,76.13,74.11,14.00,121.42,13.75,23.36,2.29,76.13
24-Mar,1.71,2.37,1.00,4.90,5.54,6.78,5.54,8.29,57.96,46.89,9.48,117.42,10.00,19.21,4.90,57.96
25-Mar,1.00,2.42,1.17,4.75,3.42,8.56,6.92,11.63,65.17,71.74,9.75,117.46,7.29,21.53,3.42,65.17
26-Mar,1.04,2.59,1.13,4.88,3.96,9.16,4.38,13.50,65.63,93.82,87.42,97.22,8.13,22.17,3.96,65.63
27-Mar,1.25,2.69,1.00,5.08,5.92,7.27,3.78,11.92,63.46,87.08,79.42,92.96,5.08,21.17,3.78,63.46
28-Mar,1.42,3.38,1.04,7.57,5.00,7.70,2.58,13.74,64.54,63.33,16.28,89.79,7.46,21.64,2.58,64.54
29-Mar,1.22,3.57,1.00,8.58,4.43,10.51,5.00,20.50,70.57,34.33,11.58,75.58,10.91,25.66,4.43,70.57
30-Mar,1.17,4.56,1.00,10.63,3.08,13.63,3.67,19.83,90.08,48.40,8.58,122.83,16.58,30.19,3.08,90.08
