day,Mtemp,Htemp,Ltemp,Heat,Cool,Rain,WMSpeed,HWSpeed,NO,NO2,PM2.5,O3
3,13.4,17.4,9.7,4.9,0,2.6,6.9,33.8,1.50,11.46,4.71,81.79
4,10.4,15.3,7.4,7.9,0,2.2,8.4,46.7,1.08,11.13,4.08,72.00
15,7.5,10.4,5.9,10.8,0,0,7.7,30.6,1.08,7.21,7.23,73.50
16,8.2,10.2,7.2,10.1,0,0,6.3,38.6,1.04,8.54,8.71,74.17
17,8.1,10.2,6.6,10.3,0,0,5.1,29,1.04,9.96,9.17,72.17
18,8.8,13,5.6,9.5,0,4.4,3.7,27.4,1.67,18.88,14.88,60.58
19,11.9,17,7.8,6.4,0,0,6.4,33.8,1.17,16.25,12.00,67.33
20,13.1,18.3,10.1,5.3,0,0,3.9,19.3,1.04,11.79,19.58,90.08
21,13.7,18.6,9.2,4.7,0,0,4.2,30.6,1.33,18.92,17.08,88.58
22,16.3,22.2,12,2.7,0.7,0,4.5,37,2.08,16.50,12.75,84.75
24,15,17.6,12.2,3.3,0,0,9.2,38.6,1.00,10.08,17.25,86.04
25,10.7,14.4,6.2,7.7,0,3.4,6.1,38.6,1.00,8.17,10.17,77.17
26,8.4,12.7,6.1,9.9,0,0,5.8,22.5,1.00,6.71,10.92,72.38
27,8.2,11.8,6.2,9.8,0,6,3.7,20.9,1.00,11.50,13.17,61.79
29,12.8,18.7,7.6,5.6,0,0,4.2,24.1,1.50,12.79,13.67,85.08
30,15.3,20.9,10.7,3.4,0.4,0,3.4,24.1,3.54,26.21,14.67,65.17
31,16.1,22.2,12,3,0.8,0,3.2,24.1,1.58,19.42,13.25,67.42
1,16.3,22.6,11.9,2.8,0.8,0.2,1.9,19.3,5.08,33.38,17.13,53.79
2,15.1,20.1,11.7,3.3,0.1,0,4.7,25.7,2.13,27.38,17.04,56.08
3,15.7,22,10.9,3,0.3,0,7.6,30.6,1.04,10.96,13.63,82.17
4,17.8,22.7,13.7,1.6,1.1,0,5.1,24.1,2.17,26.29,15.75,86.79
5,18.3,23.9,14.9,1.4,1.3,0,4.7,19.3,6.29,38.63,23.29,88.58
6,18.8,25.3,13.6,1.6,2,0,3.7,22.5,3.42,32.54,19.13,81.96
7,19.1,24.8,14.8,0.9,1.7,0,4,24.1,1.96,20.92,16.67,99.29
8,18.7,25.2,15.5,0.8,1.2,0,5.1,32.2,1.00,11.63,21.67,109.25
9,17.9,22.8,14.3,1.4,0.9,0,6.3,32.2,1.00,10.83,23.92,89.08
10,16.7,21.1,12.8,2.2,0.5,0,6.8,37,1.04,8.79,15.42,86.46
11,15.2,21.4,11.3,3.4,0.2,0,7.2,30.6,1.25,13.29,7.25,80.33
12,17.3,23.4,13.7,1.9,0.9,0,5.8,30.6,1.83,20.63,13.83,76.42
13,19.2,25.8,13.1,1.6,2.4,0,2.7,17.7,3.67,27.92,15.17,79.96
14,21.3,26.9,15.7,0.3,3.3,0,3.9,22.5,2.08,21.88,21.04,80.67
15,20.6,25.6,16.4,0.2,2.5,0,5.8,30.6,1.54,21.42,15.75,81.54
16,20.1,26.3,15.6,0.9,2.7,0,3.1,20.9,1.38,21.58,14.75,89.21
17,20.2,27.3,14.7,1.1,2.9,0,3.2,22.5,1.42,26.21,23.29,85.92
18,21.8,28.9,16.1,0.4,3.9,0,3.2,20.9,2.96,31.33,18.67,93.13
19,23,29.3,18.6,0,4.7,0,2.6,17.7,3.00,30.00,16.33,106.00
20,20.4,27.3,16.1,0.4,2.4,0,5.8,40.2,2.21,20.79,18.25,81.08
21,15.3,18.6,12.3,3,0,0,12.2,48.3,1.00,5.54,11.08,95.25
23,17.8,23.5,14.1,1.7,1.2,0,4.2,24.1,4.08,17.54,12.50,94.25
24,18.8,23.2,15.2,0.9,1.4,0,7.6,35.4,4.08,9.08,14.38,97.79
25,17.9,22.4,14.3,1.3,0.9,0,7.7,38.6,4.25,11.13,7.29,89.75
26,15.7,20.1,12.3,2.8,0.2,0,9.7,54.7,4.17,11.08,6.71,90.08
27,15.7,21.6,10.8,3.1,0.4,0,4.3,25.7,4.88,17.54,7.92,82.88
28,17.6,22.5,13,1.8,1.1,0,4.7,24.1,4.50,17.75,8.33,93.13
29,18.4,22.9,14.8,1.1,1.2,0,4.5,27.4,4.08,15.88,9.96,93.42
30,17.9,21.8,14.3,1.3,0.8,0,7.7,33.8,4.00,6.46,9.71,99.92
1,17.6,23.1,14.7,1.4,0.7,0,7.6,32.2,4.00,7.00,10.21,100.58
2,16.3,20.4,13.7,2.2,0.2,3,7.2,41.8,4.00,6.54,9.08,91.13
3,14.9,18.1,12.6,3.4,0,0,6.3,40.2,4.04,8.71,6.42,94.08
4,14.4,19.1,12.3,3.9,0,0.6,5.1,24.1,4.50,16.71,6.17,75.71
5,14.1,17.2,12.1,4.2,0,1.2,7.1,33.8,4.13,10.50,4.79,76.21
6,15.7,19.3,12.7,2.7,0,0,5.5,32.2,4.17,16.13,8.58,79.29
7,16.7,21.8,11.3,2.5,0.8,0,3.2,22.5,4.08,16.38,11.46,95.88
8,17.7,22.4,14.4,1.6,0.9,0,4,22.5,4.13,12.50,10.63,105.08
9,18,22.5,14,1.5,1.2,0,5,27.4,4.29,14.29,11.13,103.75
10,18.9,23.9,14.6,1.1,1.7,0,4.7,25.7,4.17,18.21,13.75,99.08
11,19.6,24.9,15,0.8,2.1,0,4,24.1,5.13,32.46,18.54,85.33
