DATE,2021,2020,2019,2018
1/3/21,62,89,88,85
2/3/21,45,87,84,66
3/3/21,62,67,50,77
4/3/21,97,61,81,77
5/3/21,94,82,90,47
6/3/21,63,92,94,69
7/3/21,25,76,90,79
8/3/21,70,53,90,87
9/3/21,55,82,88,95
10/3/21,88,97,75,92
11/3/21,57,82,66,91
12/3/21,74,78,52,83
13-03-2021,82,77,52,80
14-03-2021,70,90,67,82
15-03-2021,52,42,76,85
16-03-2021,59,34,97,90
17-03-2021,69,41,95,79
18-03-2021,72,55,92,66
19-03-2021,78,47,97,81
20-03-2021,59,72,72,83
21-03-2021,32,92,64,79
22-03-2021,70,65,61,48
23-03-2021,46,56,61,85
24-03-2021,54,43,59,86
25-03-2021,37,13,90,68
26-03-2021,82,22,109,76
27-03-2021,90,38,76,92
28-03-2021,82,48,0,74
29-03-2021,87,49,39,83
30-03-2021,46,45,40,109
31-03-2021,50,44,47,88
1/4/21,66,52,66,58
2/4/21,97,52,44,89
3/4/21,76,35,53,97
4/4/21,54,22,74,111
5/4/21,47,33,73,114
6/4/21,61,47,37,68
7/4/21,75,43,75,56
8/4/21,66,37,75,36
9/4/21,63,48,74,57
10/4/21,64,69,75,102
11/4/21,81,81,81,105
12/4/21,102,41,77,107
13-04-2021,96,81,78,107
14-04-2021,97,72,73,104
15-04-2021,88,45,61,57
16-04-2021,45,33,46,83
17-04-2021,43,63,84,99
18-04-2021,73,61,64,93
19-04-2021,89,41,59,82
20-04-2021,89,37,53,72
21-04-2021,96,23,65,53
22-04-2021,102,22,89,103
23-04-2021,99,40,91,113
24-04-2021,36,64,92,124
25-04-2021,48,72,104,124
26-04-2021,97,55,107,127
27-04-2021,94,74,92,127
28-04-2021,90,82,73,52
29-04-2021,103,80,74,81
30-04-2021,100,64,91,77
1/5/21,115,49,91,80
2/5/21,109,63,100,105
3/5/21,84,32,102,67
4/5/21,49,61,94,109
5/5/21,86,78,65,88
6/5/21,90,87,92,62
7/5/21,88,45,86,67
8/5/21,60,73,78,89
9/5/21,22,97,95,88
10/5/21,39,90,102,87
11/5/21,58,83,87,73
12/5/21,100,89,84,60
13-05-2021,82,104,79,93
14-05-2021,81,112,80,90
15-05-2021,84,122,94,91
16-05-2021,67,133,92,91
17-05-2021,89,119,99,94
18-05-2021,78,133,96,84
19-05-2021,94,120,96,78
20-05-2021,81,94,104,60
21-05-2021,74,79,100,47
22-05-2021,90,32,111,87
23-05-2021,100,69,109,85
24-05-2021,104,78,99,89
25-05-2021,79,60,98,74
26-05-2021,107,52,101,70
27-05-2021,108,73,94,41
28-05-2021,92,80,101,38
29-05-2021,81,84,94,51
30-05-2021,80,82,96,66
31-05-2021,85,79,99,66
,,,,
