DAY,SO2,O3,CO,NO,NO2,BEN
1-Jan-18,13,19,3.3,243,67,14.11
2-Jan-18,10,16,1.8,156,77,7.33
3-Jan-18,10,16,1.8,144,75,6.77
4-Jan-18,9,16,1.4,113,71,5.50
5-Jan-18,15,17,2.6,203,91,9.55
6-Jan-18,11,18,2.6,212,81,11.07
7-Jan-18,9,17,2.3,170,69,9.09
8-Jan-18,8,16,2.3,175,69,9.66
9-Jan-18,7,20,1.1,71,57,3.98
10-Jan-18,6,21,1.0,62,56,3.69
11-Jan-18,9,16,1.9,161,67,7.26
12-Jan-18,9,17,1.5,115,70,5.76
13-Jan-18,6,20,0.8,36,57,2.36
14-Jan-18,5,26,0.5,15,44,1.35
15-Jan-18,7,17,1.9,125,70,6.93
16-Jan-18,9,22,2.4,181,82,9.87
17-Jan-18,11,25,2.0,159,90,7.70
18-Jan-18,7,31,0.9,51,74,3.02
19-Jan-18,11,32,2.0,169,95,7.38
20-Jan-18,9,33,1.8,138,83,7.00
21-Jan-18,7,31,1.1,89,78,3.22
22-Jan-18,9,26,1.1,73,71,3.81
23-Jan-18,7,41,1.0,54,67,3.31
24-Jan-18,5,58,0.5,12,54,1.44
25-Jan-18,6,0,0.8,40,66,2.68
26-Jan-18,7,0,1.1,69,79,3.67
27-Jan-18,6,0,1.1,63,73,3.81
28-Jan-18,10,0,2.0,162,82,7.71
29-Jan-18,18,0,3.7,290,90,14.57
30-Jan-18,15,0,3.4,274,87,14.20
31-Jan-18,16,0,3.9,315,101,15.79
1-Feb-18,13,0,2.7,201,93,11.04
2-Feb-18,9,0,1.7,121,79,6.83
3-Feb-18,6,0,0.7,31,58,1.90
4-Feb-18,8,0,1.0,62,68,3.18
5-Feb-18,7,18,1.6,93,59,4.87
6-Feb-18,7,17,1.3,49,62,3.17
7-Feb-18,8,8,2.1,108,80,6.56
8-Feb-18,9,4,2.1,127,94,6.66
9-Feb-18,11,4,2.2,139,97,7.05
10-Feb-18,7,19,1.0,29,48,2.17
11-Feb-18,11,7,1.4,67,75,3.32
12-Feb-18,16,3,1.8,124,95,6.36
13-Feb-18,17,3,1.4,93,95,5.24
14-Feb-18,16,5,1.4,106,86,5.33
15-Feb-18,14,9,1.0,71,67,4.25
16-Feb-18,10,3,1.3,110,74,5.38
17-Feb-18,7,7,1.3,94,67,5.26
18-Feb-18,9,3,1.3,95,79,5.72
19-Feb-18,6,13,0.7,27,47,2.85
20-Feb-18,4,12,0.7,35,48,2.78
21-Feb-18,7,7,1.3,85,58,5.13
22-Feb-18,10,2,1.8,125,76,7.58
23-Feb-18,8,5,1.1,58,62,4.48
24-Feb-18,7,7,1.1,76,62,4.68
25-Feb-18,5,18,0.5,23,33,2.00
26-Feb-18,6,12,1.1,71,64,4.34
27-Feb-18,9,4,1.4,95,76,5.97
28-Feb-18,8,6,1.1,82,79,3.44
1-Mar-18,8,4,1.3,84,85,3.25
2-Mar-18,6,9,1.1,50,66,3.06
3-Mar-18,14,2,1.7,117,77,7.23
4-Mar-18,15,2,1.5,114,77,6.36
5-Mar-18,10,12,1.0,60,47,4.30
6-Mar-18,8,5,1.1,57,69,4.57
