DAY,RAIN20,RAIN19
1-Mar,0,0
2-Mar,0,0
3-Mar,0,0
4-Mar,0,0
5-Mar,0,0
6-Mar,0,0
7-Mar,0,0
8-Mar,0,0.2
9-Mar,23,0
10-Mar,0.2,0
11-Mar,0,0
12-Mar,0,0.2
13-Mar,0,4.8
14-Mar,0,0.6
15-Mar,0.4,21
16-Mar,1.6,0
17-Mar,0,0
18-Mar,0,0
19-Mar,0,0
20-Mar,0,0
21-Mar,0,0
22-Mar,0,0
23-Mar,5,0
24-Mar,1.4,0
25-Mar,0.8,0
26-Mar,3.8,0
27-Mar,11.8,0
28-Mar,0.2,0
29-Mar,0,0
30-Mar,0,0
31-Mar,0,0
1-Apr,0,0
2-Apr,0,0
3-Apr,0.4,0
4-Apr,5.6,0
5-Apr,9.2,0
6-Apr,1.2,16
7-Apr,0.4,1
8-Apr,0,31.8
9-Apr,0,0
10-Apr,0,0.4
11-Apr,0,0
12-Apr,0,16.6
13-Apr,0,4.6
14-Apr,0,0.2
15-Apr,0,26.2
16-Apr,0,10.2
17-Apr,0,7
18-Apr,0,0.2
19-Apr,0,0
20-Apr,0,0.8
21-Apr,0,0
22-Apr,1.8,0
23-Apr,0,0
24-Apr,0,0
25-Apr,0,0
26-Apr,0,0
27-Apr,0,0
28-Apr,0,0
29-Apr,0,0
30-Apr,0,0
1-May,0,0
2-May,0,0
3-May,0,0
4-May,2.4,1.2
5-May,0,0
6-May,0,0
7-May,0,0
8-May,0,0
9-May,0,0
10-May,0,0
11-May,0,0
12-May,0,0
13-May,0,0
14-May,0,0.4
15-May,0,0
16-May,0,0
17-May,0,0.6
18-May,0,0
19-May,0,0
20-May,0,0
21-May,0.2,0
22-May,0,0
23-May,0,0
24-May,0,0
25-May,4.6,0
26-May,7.8,0
27-May,0,0
28-May,17.2,0
29-May,0,0
30-May,0,0
31-May,0,0
