DAY,19MIN,19MEAN,19MAX,20MIN,20MEAN,20MAX
1-Mar,6.6,12.3,17.8,5.3,10.9,15.8
2-Mar,8.4,13.5,18.9,9.8,13.4,16.4
3-Mar,9.8,12.4,15.9,10.3,15.8,19.6
4-Mar,7.1,11.4,15.6,12.1,15.4,17.3
5-Mar,7.7,12.8,17.4,8.6,13.6,18.8
6-Mar,12.8,15.7,20.4,8.3,13.2,16.9
7-Mar,9.4,14.5,19.7,10.1,14.8,18.3
8-Mar,9.6,14.4,19.7,15.8,17.2,18.8
9-Mar,10.2,15,19.8,9.4,11.4,15.9
10-Mar,10.7,16.9,24.1,8.8,12.8,16.7
11-Mar,14.1,17.2,21.8,9.2,12.7,18
12-Mar,11.9,15.1,17.3,7.8,14,19.1
13-Mar,7.4,9.8,12.2,12.1,18.2,23.6
14-Mar,5.3,10.3,14.7,10.6,16.7,23.7
15-Mar,7.9,10.1,11.9,10.5,14.1,19.4
16-Mar,5.8,13,19.3,7.9,9.2,11
17-Mar,8.7,15,20.3,6.6,10.4,15.4
18-Mar,9.5,14.6,19.4,4.5,10.7,17.2
19-Mar,9.5,14.6,19.2,8.4,11.6,15.1
20-Mar,10.6,14.9,18.2,5.4,12.8,18.8
21-Mar,12.4,14.7,17.3,8.4,14.7,20.2
22-Mar,11.3,13.6,16.3,10.3,13.8,16.4
23-Mar,10.5,14.5,18.2,11.5,14.2,17.6
24-Mar,11.3,13.8,16.3,10.6,13.7,18.6
25-Mar,7.7,14.2,19.3,10.4,11.6,13.7
26-Mar,10.3,15.2,21.2,10.4,11.5,12.4
27-Mar,10.8,14.3,17.7,9.8,11.2,12.1
28-Mar,10.2,11.9,13.2,6.9,11.9,16.4
29-Mar,9.6,10.8,13.2,9,12.7,16.6
30-Mar,8.7,11.1,13.3,7.7,13.3,19
31-Mar,10.8,13.3,16.1,10.1,15.3,20.8
1-Apr,11.2,15.2,18.7,10.6,13.5,16.4
2-Apr,11.5,15.7,19.6,9.1,12.6,16.3
3-Apr,11.9,14.5,18.2,9.8,11.2,12.8
4-Apr,10.7,13.8,17.9,10.1,11.9,14.7
5-Apr,10.7,14,17.1,9.6,11.9,15.1
6-Apr,13.1,13.8,14.7,9.7,10.6,11.6
7-Apr,10.9,15,19.3,8.6,10.8,13.6
8-Apr,11.4,13.4,15.4,10.5,13.3,16.3
9-Apr,12.1,14.3,16.6,10.9,14.9,19
10-Apr,13.2,16.1,20.4,9.4,16.8,22.6
11-Apr,13.2,17,20.7,9.3,17.6,24.4
12-Apr,13,15.5,19.1,11.2,18.2,23.9
13-Apr,11.7,13.4,15.3,11.3,17.1,22.3
14-Apr,9.1,14.1,18.6,11,16.9,22.8
15-Apr,11.4,13.4,17.1,11.8,16.1,20
16-Apr,10.5,13.8,17.4,11.3,14.3,18.6
17-Apr,8.9,13.5,18.7,8.7,14.8,20.6
18-Apr,9.9,13.7,17.2,10.4,16.3,21.7
19-Apr,10.7,13.7,18.1,12.2,17.5,23.4
20-Apr,10,13.1,16.2,13.4,17.4,22.1
21-Apr,8,13.3,17.6,12.8,16.3,19.1
22-Apr,8.8,14.3,18.2,11,12.9,16.3
23-Apr,11.6,15.9,19.1,11.2,13.6,17.1
24-Apr,14.2,17.2,20.4,11.3,15.3,20.4
25-Apr,12.5,17.3,22,8.5,15.5,21.3
26-Apr,14.3,19.3,23.5,11.9,16.7,22
27-Apr,14.3,20.1,25.8,12.5,18,22.7
28-Apr,15.6,19.6,23.8,13.5,18.3,23.6
29-Apr,14.7,19.3,23.4,13.6,18.8,24.3
30-Apr,14.1,18.7,22.1,16.9,20.8,25.7
1-May,12.7,17.4,22.1,15.4,19.9,24.6
2-May,11.2,17.1,21.8,15.8,20.2,25.9
3-May,13,18.3,22.6,17.2,20.8,25.6
4-May,15,16.7,18,14.9,18.6,22.2
5-May,14.1,18.8,24.4,14.3,19.1,24.2
6-May,14.4,18.3,22.8,15.7,20.6,25.6
7-May,13.7,16.8,21.1,15.4,18.2,20.9
8-May,13.9,16.6,20.6,13.5,18.8,24.8
9-May,13.3,16.9,20.3,13.4,19.1,24.4
10-May,16.1,19,22.9,14.3,19.7,24.4
11-May,15.3,18.8,22.7,17.5,21.2,25.1
12-May,14.9,19.4,23.8,19.1,23.3,27.8
13-May,17.2,19.6,23,16.2,23.1,29.3
14-May,15.8,19.2,22.4,17.6,23.5,29.3
15-May,15.4,18.6,21.9,19.1,25.8,32.6
16-May,13.8,18.6,22.8,19.9,27.7,35.4
17-May,14.4,18.7,24.3,21.4,28.3,35.8
18-May,14.4,20.4,25.3,21.3,27.3,32.7
19-May,17.9,21.6,25.2,22.9,27.3,32.7
20-May,16.8,20.2,23.7,20.9,25.2,28.9
21-May,17.6,21.7,25.5,20.3,23.4,27
22-May,15.8,21.3,26.6,16.3,19.3,22.4
23-May,18.2,21.9,26.3,15.3,20.4,26.2
24-May,18.4,21.9,25.9,15.5,20.1,23.2
25-May,17,21.8,26.2,16.4,21.5,25.1
26-May,18.1,22.1,26.7,13.6,17.2,21.5
27-May,18.3,22.2,27.2,12.9,15.6,18.6
28-May,17.3,22.1,26.7,13.7,16.7,21.4
29-May,17.3,22.6,28.1,12.4,17.5,22.7
30-May,18.1,24.3,29.3,13.5,18.7,22.3
31-May,19.2,25,30.2,16,19.6,22.9
