DAY,TMEAN,TMIN,TMAX
1-Mar,12.87,8.40,17.60
2-Mar,12.66,7.40,15.10
3-Mar,12.97,8.70,16.60
4-Mar,13.07,10.80,16.60
5-Mar,13.66,11.80,16.70
6-Mar,14.71,12.90,16.90
7-Mar,14.40,11.70,18.20
8-Mar,13.94,10.70,16.80
9-Mar,13.24,7.20,15.10
10-Mar,12.94,3.40,16.90
11-Mar,12.70,3.00,17.30
12-Mar,12.26,2.90,15.40
13-Mar,12.06,5.10,16.90
14-Mar,11.59,6.60,16.10
15-Mar,11.63,8.30,16.10
16-Mar,11.96,9.70,14.90
17-Mar,12.63,10.20,17.50
18-Mar,12.36,7.10,18.80
19-Mar,13.17,5.50,16.30
20-Mar,13.36,4.80,16.20
21-Mar,13.51,6.30,16.10
22-Mar,14.84,9.20,17.60
23-Mar,13.91,8.00,17.90
24-Mar,13.84,8.80,17.50
25-Mar,13.59,6.40,16.80
26-Mar,14.89,9.10,18.50
27-Mar,13.77,10.70,17.10
28-Mar,13.07,11.40,14.70
29-Mar,13.21,10.30,14.80
30-Mar,14.47,11.10,17.40
31-Mar,14.80,10.10,16.90
1-Apr,16.09,10.40,18.00
2-Apr,15.83,12.40,17.90
3-Apr,16.04,14.50,18.30
4-Apr,16.51,13.80,19.60
5-Apr,16.23,14.00,18.80
6-Apr,16.03,13.70,18.90
7-Apr,16.44,13.00,19.30
8-Apr,16.29,13.40,20.00
9-Apr,15.96,10.00,19.70
10-Apr,15.74,11.20,18.50
11-Apr,15.67,12.60,17.80
12-Apr,16.19,13.60,19.30
13-Apr,16.64,13.40,19.60
14-Apr,17.43,14.10,20.90
15-Apr,18.20,13.40,22.80
16-Apr,17.70,13.80,20.80
17-Apr,16.99,13.50,20.50
18-Apr,16.50,11.30,21.20
19-Apr,17.01,12.20,22.40
20-Apr,17.29,13.10,22.90
21-Apr,16.11,13.30,17.90
22-Apr,16.47,12.80,19.20
23-Apr,17.29,14.60,19.00
24-Apr,17.97,14.90,20.80
25-Apr,18.50,14.70,22.20
26-Apr,18.80,16.00,21.70
27-Apr,18.97,16.10,23.10
28-Apr,20.16,15.50,25.10
29-Apr,20.21,15.60,23.90
30-Apr,20.43,16.70,23.50
1-May,20.23,16.90,23.90
2-May,19.43,15.60,22.80
3-May,20.01,16.30,24.80
4-May,19.76,16.20,24.10
5-May,19.71,16.80,23.40
6-May,19.84,18.10,23.60
7-May,19.71,16.80,22.30
8-May,20.11,16.60,24.10
9-May,19.66,16.90,21.90
10-May,19.76,16.30,21.30
11-May,19.84,15.90,21.10
12-May,20.60,17.20,22.90
13-May,21.63,17.40,25.30
14-May,21.71,18.90,27.30
15-May,21.66,18.60,24.80
16-May,21.60,18.60,23.50
17-May,21.26,18.40,23.80
18-May,21.49,16.50,24.60
19-May,20.96,16.60,25.70
20-May,21.20,19.40,24.30
21-May,21.69,20.20,24.80
22-May,21.23,18.60,24.90
23-May,22.47,20.80,24.60
24-May,22.60,20.70,24.70
25-May,23.51,21.30,27.70
26-May,23.80,21.60,25.80
27-May,23.56,20.40,25.90
28-May,23.01,18.00,26.60
29-May,23.09,20.20,25.70
30-May,23.51,21.60,25.40
31-May,24.19,21.10,26.60
