MAX1,MAX2,MAX3,MAX4,MAX5,MIN1,MIN2,MIN3,MIN4,MIN5,HMAX1,HMA2,HMAX3,HMAX4,HMAX5,HMIN1,HMIN2,HMIN3,HMIN4,HMIN5
70 ,66 ,54 ,66 ,57 ,50 ,50 ,37 ,48 ,43 ,82 ,88 ,81 ,87 ,81 ,56 ,43 ,51 ,30 ,51 
64 ,63 ,61 ,66 ,54 ,45 ,43 ,50 ,45 ,45 ,81 ,81 ,82 ,82 ,76 ,30 ,27 ,67 ,37 ,44 
64 ,63 ,70 ,57 ,59 ,43 ,37 ,55 ,37 ,43 ,87 ,93 ,88 ,81 ,76 ,40 ,45 ,33 ,51 ,31 
61 ,63 ,66 ,57 ,63 ,46 ,39 ,52 ,37 ,43 ,82 ,93 ,88 ,87 ,76 ,42 ,52 ,46 ,38 ,42 
64 ,66 ,64 ,64 ,66 ,46 ,37 ,50 ,50 ,37 ,82 ,100 ,100 ,93 ,93 ,26 ,32 ,68 ,42 ,26 
64 ,64 ,68 ,70 ,66 ,43 ,46 ,55 ,39 ,48 ,82 ,100 ,88 ,82 ,87 ,40 ,45 ,46 ,40 ,37 
66 ,63 ,70 ,70 ,54 ,50 ,46 ,57 ,45 ,46 ,82 ,88 ,82 ,87 ,88 ,52 ,52 ,33 ,35 ,58 
64 ,61 ,64 ,70 ,61 ,52 ,48 ,54 ,46 ,45 ,88 ,100 ,72 ,93 ,93 ,64 ,55 ,36 ,27 ,52 
64 ,57 ,63 ,70 ,63 ,50 ,50 ,46 ,50 ,48 ,94 ,100 ,76 ,81 ,93 ,56 ,63 ,34 ,28 ,45 
63 ,59 ,64 ,73 ,68 ,46 ,48 ,39 ,55 ,43 ,93 ,100 ,87 ,67 ,87 ,42 ,59 ,28 ,27 ,28 
63 ,52 ,70 ,72 ,59 ,48 ,48 ,45 ,52 ,43 ,93 ,100 ,82 ,55 ,87 ,39 ,71 ,35 ,33 ,54 
61 ,57 ,66 ,63 ,59 ,48 ,45 ,46 ,45 ,37 ,94 ,93 ,87 ,77 ,93 ,68 ,55 ,59 ,52 ,44 
