MWIND19,GONIA19,WIND20,GONIA20
3.5,SSW,2.4,NNE
3.9,SW,2.3,SW
6.4,NE,8,S
3.4,S,7.7,S
3.5,SSW,2.1,NE
3.5,SW,3.2,SSW
2.4,SSW,6.4,SSW
2.3,SW,7.9,S
4,SSW,1.9,WNW
4,SW,3.1,SW
6.4,SW,2.7,NE
6.4,S,5.5,NNE
9.3,NNE,3.4,NE
4,SW,2.1,NE
3.2,WNW,10.3,NE
4,SW,17.4,NNE
3.1,SSE,7.4,NE
3.1,SSE,5.1,NE
2.6,S,8.2,NE
6.9,N,5.1,NNE
16.4,NNE,2.3,SSW
14,NE,2.9,SSW
11.9,NE,1.6,NNE
10,NE,2.9,W
3.4,SW,13,NE
2.6,N,10.9,NE
7.7,NE,6.4,NE
14.6,NE,2.6,SW
21.4,NE,2.1,SSW
17.2,NNE,2.3,ENE
11.9,NNE,2.4,NE
8,NNE,5.1,NNE
11.3,NE,5.1,NNE
8,NE,4.2,NNE
5.8,NNE,8.7,NE
3.5,W,4.3,NE
8.5,NE,7.6,NNE
3.7,SW,10.6,NNE
3.2,SSW,13.4,NE
8.7,W,6.9,NE
6.6,W,5,NE
4.5,SSW,2.6,SSW
2.6,ESE,5.5,NE
2.3,NNE,2.6,SSW
2.6,SSW,4.8,S
3.4,WNW,6.6,NNE
8.4,NE,7.1,NE
2.3,N,2.9,SSW
5.6,NE,2.4,SW
5.8,NE,2.3,SW
7.9,NE,2.6,SW
4,N,10.5,NE
2.7,NNE,10.9,NE
2.6,NNE,6.3,NE
2.3,SW,4,W
2.3,SW,3.1,SSW
2.7,SSW,3.2,SSW
2.6,SW,3.2,SW
3.2,SW,2.7,SSW
4,SW,3.5,SSW
4.5,SSW,4.7,W
3.7,W,4,SSW
3.9,SSW,4.7,SSW
4.3,SSW,4.8,SSW
2.9,SSW,4.8,NNE
7.4,SSW,4.8,SSW
5.6,W,4.7,SSW
7.2,W,6.3,NE
3.9,SSW,4.3,NE
4.7,SSW,2.9,SW
4.7,SW,2.3,SW
3.5,SW,3.4,SSW
3.4,SSW,3.7,SW
2.9,SW,2.4,SW
4,NE,2.3,W
3.2,SSW,1.9,SW
3.7,SSW,2.1,SW
2.6,SSW,1.9,SW
3.4,SSW,2.7,SW
3.9,SW,2.6,SSW
2.3,SSW,3.2,SW
2.7,SW,5.3,W
2.4,S,11.4,NE
4,SSW,4.8,NNE
4.2,W,3.9,SSW
4.3,SSW,5.6,NE
3.1,SW,5,NE
2.9,WSW,3.9,W
4.3,SSW,2.1,NE
3.7,SSW,2.3,NNE
4,SSW,4,SSW
3.4,SSW,3.1,SSW
