direction,strength,frequency,,
N,0-2,0.00,,
NNE,0-2,0.01,,
NE,0-2,0.00,,
ENE,0-2,0.00,,
E,0-2,0.00,,
ESE,0-2,0.00,,
SE,0-2,0.00,,
SSE,0-2,0.00,,
S,0-2,0.00,,
SSW,0-2,0.00,,
SW,0-2,0.02,,
WSW,0-2,0.00,,
W,0-2,0.00,,
WNW,0-2,0.01,,
NW,0-2,0.00,,
NWW,0-2,0.00,,
N,2-4,0.00,,
NNE,2-4,0.02,,
NE,2-4,0.07,,
ENE,2-4,0.01,,
E,2-4,0.00,,
ESE,2-4,0.00,,
SE,2-4,0.00,,
SSE,2-4,0.00,,
S,2-4,0.00,,
SSW,2-4,0.16,,
SW,2-4,0.15,,
WSW,2-4,0.00,,
W,2-4,0.03,,
WNW,2-4,0.00,,
NW,2-4,0.00,,
NWW,2-4,0.00,,
N,4-6,0.00,,
NNE,4-6,0.08,,
NE,4-6,0.08,,
ENE,4-6,0.00,,
E,4-6,0.00,,
ESE,4-6,0.00,,
SE,4-6,0.00,,
SSE,4-6,0.00,,
S,4-6,0.01,,
SSW,4-6,0.07,,
SW,4-6,0.00,,
WSW,4-6,0.00,,
W,4-6,0.03,,
WNW,4-6,0.00,,
NW,4-6,0.00,,
NWW,4-6,0.00,,
N,6-8,0.00,,
NNE,6-8,0.02,,
NE,6-8,0.07,,
ENE,6-8,0.00,,
E,6-8,0.00,,
ESE,6-8,0.00,,
SE,6-8,0.00,,
SSE,6-8,0.00,,
S,6-8,0.02,,
SSW,6-8,0.01,,
SW,6-8,0.00,,
WSW,6-8,0.00,,
W,6-8,0.00,,
WNW,6-8,0.00,,
NW,6-8,0.00,,
NWW,6-8,0.00,,
N,8-10,0.00,,
NNE,8-10,0.00,,
NE,8-10,0.02,,
ENE,8-10,0.00,,
E,8-10,0.00,,
ESE,8-10,0.00,,
SE,8-10,0.00,,
SSE,8-10,0.00,,
S,8-10,0.01,,
SSW,8-10,0.00,,
SW,8-10,0.00,,
WSW,8-10,0.00,,
W,8-10,0.00,,
WNW,8-10,0.00,,
NW,8-10,0.00,,
NWW,8-10,0.00,,
N,10-12,0.00,,
NNE,10-12,0.01,,
NE,10-12,0.05,,
ENE,10-12,0.00,,
E,10-12,0.00,,
ESE,10-12,0.00,,
SE,10-12,0.00,,
SSE,10-12,0.00,,
S,10-12,0.00,,
SSW,10-12,0.00,,
SW,10-12,0.00,,
WSW,10-12,0.00,,
W,10-12,0.00,,
WNW,10-12,0.00,,
NW,10-12,0.00,,
NWW,10-12,0.00,,
N,12-14,0.00,,
NNE,12-14,0.00,,
NE,12-14,0.02,,
ENE,12-14,0.00,,
E,12-14,0.00,,
ESE,12-14,0.00,,
SE,12-14,0.00,,
SSE,12-14,0.00,,
S,12-14,0.00,,
SSW,12-14,0.00,,
SW,12-14,0.00,,
WSW,12-14,0.00,,
W,12-14,0.00,,
WNW,12-14,0.00,,
NW,12-14,0.00,,
NWW,12-14,0.00,,
N,14-16,0.00,,
NNE,14-16,0.00,,
NE,14-16,0.00,,
ENE,14-16,0.00,,
E,14-16,0.00,,
ESE,14-16,0.00,,
SE,14-16,0.00,,
SSE,14-16,0.00,,
S,14-16,0.00,,
SSW,14-16,0.00,,
SW,14-16,0.00,,
WSW,14-16,0.00,,
W,14-16,0.00,,
WNW,14-16,0.00,,
NW,14-16,0.00,,
NWW,14-16,0.00,,
N,16-18,0.00,,
NNE,16-18,0.01,,
NE,16-18,0.00,,
ENE,16-18,0.00,,
E,16-18,0.00,,
ESE,16-18,0.00,,
SE,16-18,0.00,,
SSE,16-18,0.00,,
S,16-18,0.00,,
SSW,16-18,0.00,,
SW,16-18,0.00,,
WSW,16-18,0.00,,
W,16-18,0.00,,
WNW,16-18,0.00,,
NW,16-18,0.00,,
NWW,16-18,0.00,,
