DAY,S02
1-Jan-18,13
2-Jan-18,10
3-Jan-18,10
4-Jan-18,9
5-Jan-18,15
6-Jan-18,11
7-Jan-18,9
8-Jan-18,8
9-Jan-18,7
10-Jan-18,6
11-Jan-18,9
12-Jan-18,9
13-Jan-18,6
14-Jan-18,5
15-Jan-18,7
16-Jan-18,9
17-Jan-18,11
18-Jan-18,7
19-Jan-18,11
20-Jan-18,9
21-Jan-18,7
22-Jan-18,9
23-Jan-18,7
24-Jan-18,5
25-Jan-18,6
26-Jan-18,7
27-Jan-18,6
28-Jan-18,10
29-Jan-18,18
30-Jan-18,15
31-Jan-18,16
1-Feb-18,13
2-Feb-18,9
3-Feb-18,6
4-Feb-18,8
5-Feb-18,7
6-Feb-18,7
7-Feb-18,8
8-Feb-18,9
9-Feb-18,11
10-Feb-18,7
11-Feb-18,11
12-Feb-18,16
13-Feb-18,17
14-Feb-18,16
15-Feb-18,14
16-Feb-18,10
17-Feb-18,7
18-Feb-18,9
19-Feb-18,6
20-Feb-18,4
21-Feb-18,7
22-Feb-18,10
23-Feb-18,8
24-Feb-18,7
25-Feb-18,5
26-Feb-18,6
27-Feb-18,9
28-Feb-18,8
1-Mar-18,8
2-Mar-18,6
3-Mar-18,14
4-Mar-18,15
5-Mar-18,10
6-Mar-18,8
7-Mar-18,8
8-Mar-18,8
9-Mar-18,11
10-Mar-18,11
11-Mar-18,10
12-Mar-18,10
13-Mar-18,7
14-Mar-18,7
15-Mar-18,7
16-Mar-18,9
17-Mar-18,9
18-Mar-18,7
19-Mar-18,7
20-Mar-18,7
21-Mar-18,7
22-Mar-18,5
23-Mar-18,6
24-Mar-18,6
25-Mar-18,5
26-Mar-18,5
27-Mar-18,9
28-Mar-18,9
29-Mar-18,6
30-Mar-18,10
31-Mar-18,10
1-Apr-18,7
2-Apr-18,8
3-Apr-18,9
4-Apr-18,15
5-Apr-18,17
6-Apr-18,13
7-Apr-18,6
8-Apr-18,4
9-Apr-18,3
10-Apr-18,10
11-Apr-18,14
12-Apr-18,14
13-Apr-18,15
14-Apr-18,16
15-Apr-18,11
16-Apr-18,10
17-Apr-18,15
18-Apr-18,12
19-Apr-18,9
20-Apr-18,11
21-Apr-18,4
22-Apr-18,10
23-Apr-18,14
24-Apr-18,18
25-Apr-18,18
26-Apr-18,18
27-Apr-18,20
28-Apr-18,11
29-Apr-18,9
30-Apr-18,10
1-May-18,11
2-May-18,14
3-May-18,11
4-May-18,14
5-May-18,14
6-May-18,10
7-May-18,8
8-May-18,12
9-May-18,14
10-May-18,14
11-May-18,11
12-May-18,8
13-May-18,9
14-May-18,11
15-May-18,14
16-May-18,15
17-May-18,16
18-May-18,16
19-May-18,14
20-May-18,10
21-May-18,7
22-May-18,8
23-May-18,9
24-May-18,13
25-May-18,11
26-May-18,8
27-May-18,6
28-May-18,5
29-May-18,5
30-May-18,6
31-May-18,6
1-Jun-18,9
2-Jun-18,7
3-Jun-18,9
4-Jun-18,13
5-Jun-18,17
6-Jun-18,16
7-Jun-18,17
8-Jun-18,15
9-Jun-18,16
10-Jun-18,14
11-Jun-18,11
12-Jun-18,12
13-Jun-18,17
14-Jun-18,18
15-Jun-18,15
16-Jun-18,9
17-Jun-18,10
18-Jun-18,13
19-Jun-18,13
20-Jun-18,10
21-Jun-18,11
22-Jun-18,15
23-Jun-18,13
24-Jun-18,9
25-Jun-18,7
26-Jun-18,5
27-Jun-18,4
28-Jun-18,7
29-Jun-18,8
30-Jun-18,9
1-Jul-18,8
2-Jul-18,10
3-Jul-18,13
4-Jul-18,10
5-Jul-18,10
6-Jul-18,12
7-Jul-18,10
8-Jul-18,7
9-Jul-18,8
10-Jul-18,8
11-Jul-18,8
12-Jul-18,9
13-Jul-18,10
14-Jul-18,8
15-Jul-18,5
16-Jul-18,8
17-Jul-18,12
18-Jul-18,10
19-Jul-18,9
20-Jul-18,7
21-Jul-18,8
22-Jul-18,18
23-Jul-18,10
24-Jul-18,8
25-Jul-18,9
26-Jul-18,8
27-Jul-18,9
28-Jul-18,7
29-Jul-18,7
30-Jul-18,7
31-Jul-18,11
1-Aug-18,11
2-Aug-18,9
3-Aug-18,7
4-Aug-18,6
5-Aug-18,5
6-Aug-18,5
7-Aug-18,6
8-Aug-18,5
9-Aug-18,4
10-Aug-18,3
11-Aug-18,3
12-Aug-18,3
13-Aug-18,3
14-Aug-18,4
15-Aug-18,5
16-Aug-18,6
17-Aug-18,6
18-Aug-18,6
19-Aug-18,5
20-Aug-18,3
21-Aug-18,3
22-Aug-18,5
23-Aug-18,5
24-Aug-18,6
25-Aug-18,8
26-Aug-18,8
27-Aug-18,8
28-Aug-18,6
29-Aug-18,6
30-Aug-18,7
31-Aug-18,9
1-Sep-18,8
2-Sep-18,8
3-Sep-18,12
4-Sep-18,12
5-Sep-18,13
6-Sep-18,11
7-Sep-18,11
8-Sep-18,11
9-Sep-18,11
10-Sep-18,12
11-Sep-18,11
12-Sep-18,8
13-Sep-18,6
14-Sep-18,10
15-Sep-18,12
16-Sep-18,13
17-Sep-18,7
18-Sep-18,5
19-Sep-18,6
20-Sep-18,5
21-Sep-18,6
22-Sep-18,10
23-Sep-18,10
24-Sep-18,15
25-Sep-18,11
26-Sep-18,3
27-Sep-18,2
