DAY,O3,SO2,NO,NO2,PM25,PM10
1-Jan-18,0,0,0,0,0,0
2-Jan-18,0,0,0,0,0,0
3-Jan-18,0,0,0,0,0,0
4-Jan-18,0,0,0,0,0,0
5-Jan-18,0,0,0,0,0,0
6-Jan-18,0,0,0,0,0,0
7-Jan-18,0,0,0,0,0,0
8-Jan-18,0,0,0,0,0,0
9-Jan-18,0,0,0,0,0,0
10-Jan-18,0,0,0,0,0,0
11-Jan-18,0,0,0,0,0,0
12-Jan-18,0,0,0,0,0,0
13-Jan-18,0,0,0,0,0,0
14-Jan-18,0,0,0,0,0,0
15-Jan-18,0,0,0,0,0,0
16-Jan-18,0,0,0,0,0,0
17-Jan-18,0,0,0,0,0,0
18-Jan-18,0,0,0,0,0,0
19-Jan-18,0,0,0,0,0,0
20-Jan-18,0,0,0,0,0,0
21-Jan-18,0,0,0,0,0,0
22-Jan-18,0,0,0,0,0,0
23-Jan-18,0,0,0,0,0,0
24-Jan-18,0,0,0,0,0,0
25-Jan-18,0,0,0,0,0,0
26-Jan-18,0,0,0,0,0,0
27-Jan-18,0,0,0,0,0,0
28-Jan-18,0,0,0,0,0,0
29-Jan-18,0,0,0,0,0,0
30-Jan-18,0,0,0,0,0,0
31-Jan-18,0,0,0,0,0,0
1-Feb-18,0,0,0,0,0,0
2-Feb-18,0,0,0,0,0,0
3-Feb-18,0,0,0,0,0,0
4-Feb-18,0,0,0,0,0,0
5-Feb-18,0,0,0,0,0,0
6-Feb-18,0,0,0,0,0,0
7-Feb-18,0,0,0,0,0,0
8-Feb-18,0,0,0,0,0,0
9-Feb-18,0,0,0,0,0,0
10-Feb-18,0,0,0,0,0,0
11-Feb-18,0,0,0,0,0,0
12-Feb-18,0,0,0,0,0,0
13-Feb-18,0,0,0,0,0,0
14-Feb-18,0,0,0,0,0,0
15-Feb-18,0,0,0,0,0,0
16-Feb-18,54,14,1,8,11,17
17-Feb-18,55,10,3,12,21,27
18-Feb-18,33,10,3,15,34,41
19-Feb-18,47,9,1,8,21,27
20-Feb-18,44,9,1,9,17,19
21-Feb-18,40,9,2,11,23,26
22-Feb-18,36,10,2,12,24,29
23-Feb-18,41,10,3,10,13,17
24-Feb-18,53,9,1,7,10,14
25-Feb-18,45,9,2,6,13,15
26-Feb-18,65,9,1,6,8,10
27-Feb-18,78,13,1,4,7,13
28-Feb-18,84,10,1,6,9,14
1-Mar-18,65,9,1,10,22,29
2-Mar-18,84,10,1,5,14,25
3-Mar-18,89,12,1,2,7,23
4-Mar-18,0,9,1,6,13,47
5-Mar-18,0,9,1,9,20,51
6-Mar-18,0,10,1,3,8,20
7-Mar-18,89,10,1,3,19,71
8-Mar-18,97,9,1,6,5,12
9-Mar-18,0,8,3,15,14,22
10-Mar-18,0,8,2,13,15,23
11-Mar-18,0,9,2,13,19,28
12-Mar-18,0,9,2,7,15,24
13-Mar-18,0,9,1,3,5,13
14-Mar-18,0,8,1,6,5,11
15-Mar-18,0,8,2,9,10,16
16-Mar-18,0,9,2,9,12,30
17-Mar-18,0,10,1,4,9,36
18-Mar-18,0,10,1,5,20,70
19-Mar-18,0,10,1,5,12,46
20-Mar-18,0,11,1,4,4,12
21-Mar-18,0,11,1,4,8,23
22-Mar-18,0,11,2,10,14,32
23-Mar-18,77,7,1,9,7,14
24-Mar-18,79,4,1,7,9,11
25-Mar-18,68,3,1,3,15,33
26-Mar-18,97,5,1,3,48,211
27-Mar-18,81,5,1,2,9,26
28-Mar-18,64,5,2,4,12,18
29-Mar-18,75,6,2,3,14,20
30-Mar-18,63,6,2,6,17,25
31-Mar-18,63,7,1,4,13,21
1-Apr-18,100,7,1,1,7,28
2-Apr-18,78,6,1,4,5,13
3-Apr-18,71,6,1,11,7,17
4-Apr-18,69,7,2,13,10,21
5-Apr-18,73,9,2,10,9,21
6-Apr-18,71,9,1,7,9,19
7-Apr-18,67,8,1,5,9,13
8-Apr-18,78,8,1,5,11,19
9-Apr-18,81,9,1,5,9,0
10-Apr-18,0,10,2,8,0,0
11-Apr-18,0,14,2,6,0,0
12-Apr-18,0,16,3,6,0,0
13-Apr-18,0,19,2,8,0,0
14-Apr-18,0,19,1,9,0,0
15-Apr-18,0,21,1,7,0,0
16-Apr-18,0,26,1,11,0,0
17-Apr-18,0,33,1,6,0,0
18-Apr-18,0,46,1,2,0,0
19-Apr-18,0,24,2,2,0,0
20-Apr-18,0,2,2,1,0,0
21-Apr-18,0,2,1,1,0,0
22-Apr-18,0,2,1,1,0,0
23-Apr-18,0,2,1,1,0,0
24-Apr-18,0,2,2,2,0,0
25-Apr-18,0,2,2,3,0,0
26-Apr-18,0,2,1,12,0,0
27-Apr-18,0,2,2,15,0,0
28-Apr-18,0,2,1,9,0,0
29-Apr-18,0,2,1,3,0,0
30-Apr-18,0,2,1,3,0,0
1-May-18,90,2,1,4,0,0
2-May-18,91,2,1,8,0,0
3-May-18,95,2,1,8,0,0
4-May-18,93,3,1,6,0,0
5-May-18,81,2,1,7,0,0
6-May-18,53,3,1,5,0,0
7-May-18,59,2,1,6,0,0
8-May-18,48,3,1,9,0,0
9-May-18,60,2,2,5,0,0
10-May-18,59,3,1,9,0,0
11-May-18,61,2,1,7,0,0
12-May-18,37,3,1,7,0,0
13-May-18,0,3,1,7,0,0
14-May-18,0,4,1,8,0,0
15-May-18,0,4,1,7,0,0
16-May-18,0,6,1,7,0,0
17-May-18,0,5,1,5,0,0
18-May-18,0,6,1,4,0,0
19-May-18,0,5,1,6,0,0
20-May-18,0,6,1,6,0,0
21-May-18,0,5,1,6,0,0
22-May-18,0,5,1,7,0,0
23-May-18,0,5,2,9,0,0
24-May-18,0,7,1,8,0,0
25-May-18,0,6,1,9,0,0
26-May-18,0,8,1,7,0,0
27-May-18,0,6,1,4,0,0
28-May-18,0,7,1,4,0,0
29-May-18,0,6,1,8,0,0
30-May-18,0,8,1,6,0,0
31-May-18,0,7,1,8,0,0
1-Jun-18,0,9,1,12,0,0
2-Jun-18,0,7,1,13,0,0
3-Jun-18,0,9,1,10,0,0
4-Jun-18,0,8,1,10,0,0
5-Jun-18,0,10,1,10,0,0
6-Jun-18,0,9,1,7,0,0
7-Jun-18,0,9,1,8,0,0
8-Jun-18,0,9,1,7,0,0
9-Jun-18,0,11,1,7,0,0
10-Jun-18,0,10,1,6,0,0
11-Jun-18,0,11,1,7,0,0
12-Jun-18,107,10,1,10,14,33
13-Jun-18,87,0,1,9,14,34
14-Jun-18,87,0,1,7,10,29
15-Jun-18,87,0,1,7,7,22
16-Jun-18,69,0,1,7,7,14
17-Jun-18,61,0,1,7,5,11
18-Jun-18,64,0,1,8,8,17
19-Jun-18,77,0,1,7,8,16
20-Jun-18,85,0,1,8,8,21
21-Jun-18,88,0,1,11,10,32
22-Jun-18,92,0,1,9,10,23
23-Jun-18,86,0,1,7,10,19
24-Jun-18,75,0,1,4,7,13
25-Jun-18,83,0,1,4,7,13
26-Jun-18,87,0,1,6,6,11
27-Jun-18,65,0,1,6,1,4
28-Jun-18,71,0,1,6,3,7
29-Jun-18,83,0,1,5,4,9
30-Jun-18,89,0,1,6,4,7
1-Jul-18,85,0,1,7,7,16
2-Jul-18,88,0,1,7,10,19
3-Jul-18,87,0,1,10,12,22
4-Jul-18,42,0,1,13,12,27
5-Jul-18,0,0,2,14,13,32
6-Jul-18,0,0,1,12,14,35
7-Jul-18,0,0,1,10,16,37
8-Jul-18,0,0,1,5,9,17
9-Jul-18,0,0,1,6,7,14
10-Jul-18,105,0,1,5,8,15
11-Jul-18,89,0,1,8,9,19
12-Jul-18,45,0,1,10,10,22
13-Jul-18,0,0,1,12,12,26
14-Jul-18,118,0,1,9,13,29
15-Jul-18,94,0,1,9,12,25
16-Jul-18,91,0,2,12,12,30
17-Jul-18,87,0,1,11,12,35
18-Jul-18,99,0,1,8,12,31
19-Jul-18,102,0,1,12,11,37
20-Jul-18,96,0,1,9,9,23
21-Jul-18,92,0,1,9,12,28
22-Jul-18,95,0,1,7,14,35
23-Jul-18,99,0,1,7,12,48
