DAY,PM25,PM10,SO2,NO,NO2
1-Jan-18,81,102,5,139,50
2-Jan-18,18,33,3,56,56
3-Jan-18,21,30,3,74,57
4-Jan-18,18,28,2,48,49
5-Jan-18,24,35,8,144,73
6-Jan-18,47,65,4,168,68
7-Jan-18,46,67,3,122,63
8-Jan-18,30,45,2,60,58
9-Jan-18,26,40,3,58,55
10-Jan-18,29,41,2,44,56
11-Jan-18,29,38,2,40,54
12-Jan-18,21,32,4,37,61
13-Jan-18,13,19,2,23,55
14-Jan-18,10,15,2,11,26
15-Jan-18,15,22,2,31,48
16-Jan-18,32,48,3,96,62
17-Jan-18,12,24,4,30,52
18-Jan-18,7,16,3,7,26
19-Jan-18,0,26,5,92,73
20-Jan-18,0,43,3,47,56
21-Jan-18,0,29,2,10,41
22-Jan-18,0,17,3,15,40
23-Jan-18,0,21,2,29,52
24-Jan-18,9,21,2,14,30
25-Jan-18,9,17,2,14,36
26-Jan-18,12,21,2,31,53
27-Jan-18,20,0,2,50,59
28-Jan-18,48,0,5,89,63
29-Jan-18,67,71,11,214,76
30-Jan-18,60,86,8,203,73
31-Jan-18,59,86,9,200,81
1-Feb-18,48,66,7,81,66
2-Feb-18,24,40,4,47,61
3-Feb-18,12,27,2,9,33
4-Feb-18,16,35,3,6,31
5-Feb-18,21,35,3,73,55
6-Feb-18,12,20,3,22,51
7-Feb-18,24,47,4,51,66
8-Feb-18,21,53,3,13,48
9-Feb-18,17,35,6,25,63
10-Feb-18,18,33,2,18,49
11-Feb-18,9,19,3,5,26
12-Feb-18,13,20,4,14,46
13-Feb-18,14,24,4,35,58
14-Feb-18,9,19,4,15,43
15-Feb-18,17,23,2,37,67
16-Feb-18,13,21,2,19,44
17-Feb-18,26,35,3,48,54
18-Feb-18,29,39,4,23,53
19-Feb-18,25,34,2,12,36
20-Feb-18,17,24,2,24,48
21-Feb-18,23,37,3,45,61
22-Feb-18,24,36,3,66,56
23-Feb-18,19,29,3,35,60
24-Feb-18,12,19,3,13,40
25-Feb-18,13,20,2,14,40
26-Feb-18,9,15,3,14,41
27-Feb-18,18,31,4,40,47
28-Feb-18,11,21,5,11,40
1-Mar-18,17,26,4,14,51
2-Mar-18,14,28,2,9,45
3-Mar-18,26,66,10,42,56
4-Mar-18,25,65,8,37,59
5-Mar-18,38,122,4,55,62
6-Mar-18,16,42,4,13,40
7-Mar-18,21,79,5,28,45
8-Mar-18,7,27,3,9,36
9-Mar-18,11,22,9,25,63
10-Mar-18,21,33,6,36,57
11-Mar-18,25,37,6,29,56
12-Mar-18,21,34,4,37,46
13-Mar-18,8,21,3,7,30
14-Mar-18,8,20,2,9,34
15-Mar-18,8,16,2,10,43
16-Mar-18,13,29,5,35,69
17-Mar-18,19,39,3,32,54
18-Mar-18,17,64,4,12,39
19-Mar-18,12,43,2,8,39
20-Mar-18,9,19,4,10,42
21-Mar-18,17,34,3,32,59
22-Mar-18,18,62,3,14,49
23-Mar-18,11,28,3,8,37
24-Mar-18,9,15,3,5,33
25-Mar-18,17,54,3,5,31
26-Mar-18,59,270,3,11,41
27-Mar-18,19,61,4,17,46
28-Mar-18,14,26,5,22,57
29-Mar-18,14,22,3,8,37
30-Mar-18,20,33,5,21,56
31-Mar-18,27,41,3,30,56
1-Apr-18,11,31,3,4,22
2-Apr-18,9,22,4,9,41
3-Apr-18,17,31,4,52,70
4-Apr-18,18,33,11,46,74
5-Apr-18,20,39,11,54,82
6-Apr-18,19,30,7,11,55
7-Apr-18,13,23,3,9,38
8-Apr-18,23,22,2,8,29
9-Apr-18,0,20,3,7,35
10-Apr-18,0,38,6,27,63
11-Apr-18,0,49,8,44,74
12-Apr-18,0,49,7,51,79
13-Apr-18,26,52,8,39,69
14-Apr-18,35,66,11,37,73
15-Apr-18,22,45,10,8,44
16-Apr-18,22,49,7,20,62
17-Apr-18,34,99,10,16,52
18-Apr-18,34,85,6,26,58
19-Apr-18,15,38,4,17,53
20-Apr-18,17,38,10,41,54
21-Apr-18,11,22,#DIV/0!,6,31
22-Apr-18,17,32,#DIV/0!,19,58
23-Apr-18,23,43,#DIV/0!,40,73
24-Apr-18,27,48,#DIV/0!,43,83
25-Apr-18,26,53,#DIV/0!,82,94
26-Apr-18,27,49,#DIV/0!,54,88
27-Apr-18,28,48,#DIV/0!,43,93
28-Apr-18,18,37,#DIV/0!,15,60
29-Apr-18,15,35,#DIV/0!,8,48
30-Apr-18,19,45,#DIV/0!,14,63
1-May-18,22,52,#DIV/0!,12,53
2-May-18,22,47,9,27,72
3-May-18,24,56,8,21,76
4-May-18,25,65,8,19,77
5-May-18,21,51,9,9,53
6-May-18,14,29,5,10,46
7-May-18,14,28,3,16,52
8-May-18,25,51,4,51,75
9-May-18,21,39,5,28,49
10-May-18,17,30,5,15,45
11-May-18,14,23,4,15,51
12-May-18,13,25,4,10,41
13-May-18,15,31,5,6,44
14-May-18,16,31,5,14,45
15-May-18,19,33,7,20,54
16-May-18,20,41,6,23,66
17-May-18,21,41,9,30,71
18-May-18,17,40,8,56,71
19-May-18,19,42,5,53,56
20-May-18,15,32,5,9,42
21-May-18,13,26,4,11,40
22-May-18,12,26,4,8,43
23-May-18,14,30,4,9,50
24-May-18,21,42,6,15,60
25-May-18,18,36,4,17,50
26-May-18,13,25,4,3,25
27-May-18,14,28,3,4,20
28-May-18,12,31,3,7,28
29-May-18,10,32,4,9,36
30-May-18,11,28,4,7,33
31-May-18,11,27,4,11,43
1-Jun-18,12,25,7,33,63
2-Jun-18,14,28,3,14,50
3-Jun-18,17,35,6,7,48
4-Jun-18,19,38,7,19,61
5-Jun-18,18,37,10,17,59
6-Jun-18,19,46,8,20,55
7-Jun-18,21,52,8,14,53
8-Jun-18,25,56,7,15,64
9-Jun-18,27,55,7,10,49
10-Jun-18,12,26,7,5,31
11-Jun-18,13,27,5,7,35
12-Jun-18,13,27,6,10,49
13-Jun-18,20,39,12,12,61
14-Jun-18,17,37,8,10,45
15-Jun-18,11,28,6,9,36
16-Jun-18,14,29,4,10,39
17-Jun-18,14,27,4,13,47
18-Jun-18,20,35,4,26,60
19-Jun-18,15,29,4,15,40
20-Jun-18,11,27,4,8,37
21-Jun-18,16,34,4,27,60
22-Jun-18,18,35,6,9,46
23-Jun-18,0,28,6,8,41
24-Jun-18,0,37,4,9,33
25-Jun-18,9,21,4,11,36
26-Jun-18,10,23,4,15,40
27-Jun-18,8,21,3,9,37
28-Jun-18,7,17,4,7,32
29-Jun-18,8,20,4,7,31
30-Jun-18,10,17,6,6,37
1-Jul-18,16,26,5,10,43
2-Jul-18,21,36,7,17,67
3-Jul-18,23,38,9,20,70
4-Jul-18,20,37,8,14,67
5-Jul-18,22,42,6,15,64
6-Jul-18,23,45,7,14,57
7-Jul-18,23,42,8,9,49
8-Jul-18,16,27,5,5,30
9-Jul-18,16,28,4,10,43
10-Jul-18,15,26,3,9,36
11-Jul-18,18,31,4,10,43
12-Jul-18,17,32,5,14,55
13-Jul-18,17,32,#DIV/0!,21,61
14-Jul-18,18,31,#DIV/0!,11,44
15-Jul-18,13,23,#DIV/0!,5,32
16-Jul-18,17,31,#DIV/0!,14,57
17-Jul-18,18,36,#DIV/0!,16,56
18-Jul-18,15,34,#DIV/0!,4,29
19-Jul-18,15,31,#DIV/0!,7,42
20-Jul-18,13,27,2,6,35
21-Jul-18,15,30,2,11,46
22-Jul-18,20,34,5,8,48
23-Jul-18,15,50,5,11,47
24-Jul-18,16,32,2,6,38
25-Jul-18,17,31,3,9,43
26-Jul-18,17,32,2,14,49
27-Jul-18,13,26,3,8,46
28-Jul-18,14,26,2,7,37
29-Jul-18,16,29,2,8,36
30-Jul-18,14,29,#DIV/0!,10,51
31-Jul-18,18,34,#DIV/0!,16,55
1-Aug-18,17,34,2,19,53
2-Aug-18,16,36,2,18,50
3-Aug-18,14,35,2,9,35
4-Aug-18,13,31,2,4,21
5-Aug-18,12,31,2,3,24
6-Aug-18,14,33,2,11,47
7-Aug-18,16,36,2,29,57
8-Aug-18,15,35,2,18,52
9-Aug-18,13,0,2,7,28
10-Aug-18,11,29,2,6,24
11-Aug-18,10,25,2,4,18
12-Aug-18,8,26,2,4,20
13-Aug-18,13,36,2,7,32
14-Aug-18,12,29,2,12,45
15-Aug-18,11,28,2,9,37
16-Aug-18,14,34,2,15,47
17-Aug-18,17,36,5,7,42
18-Aug-18,15,35,2,15,39
19-Aug-18,13,38,2,8,32
20-Aug-18,12,30,2,6,29
21-Aug-18,9,25,2,9,33
22-Aug-18,11,27,2,10,39
23-Aug-18,14,32,2,11,40
24-Aug-18,18,48,3,8,42
25-Aug-18,20,41,5,7,36
26-Aug-18,19,36,5,9,38
27-Aug-18,14,27,6,8,37
28-Aug-18,12,25,5,14,43
29-Aug-18,14,33,6,9,36
30-Aug-18,17,44,7,40,62
31-Aug-18,17,41,8,53,71
1-Sep-18,17,39,#DIV/0!,48,64
2-Sep-18,17,35,#DIV/0!,49,60
3-Sep-18,20,49,#DIV/0!,67,74
4-Sep-18,15,33,#DIV/0!,8,44
5-Sep-18,10,27,#DIV/0!,10,49
6-Sep-18,12,26,#DIV/0!,8,44
7-Sep-18,0,26,#DIV/0!,9,43
8-Sep-18,0,0,#DIV/0!,9,46
9-Sep-18,0,0,#DIV/0!,18,44
10-Sep-18,0,0,#DIV/0!,32,61
11-Sep-18,0,0,#DIV/0!,34,64
12-Sep-18,14,29,#DIV/0!,13,49
13-Sep-18,11,24,#DIV/0!,10,39
14-Sep-18,16,31,#DIV/0!,24,65
15-Sep-18,20,34,#DIV/0!,28,56
16-Sep-18,25,42,#DIV/0!,38,56
