DAY,O3,CO,NO,NO2,SO2
1-Jan-18,17,1.81,199,35,7
2-Jan-18,30,0.44,37,28,4
3-Jan-18,16,0.92,96,36,5
4-Jan-18,25,0.55,59,30,5
5-Jan-18,18,1.2,159,44,8
6-Jan-18,15,1.64,231,48,8
7-Jan-18,14,1.37,168,45,6
8-Jan-18,15,0.77,78,37,5
9-Jan-18,13,0.77,75,31,5
10-Jan-18,10,0.65,45,29,5
11-Jan-18,13,0.65,55,30,5
12-Jan-18,19,0.71,69,34,6
13-Jan-18,25,0.54,47,30,4
14-Jan-18,30,0.38,36,19,4
15-Jan-18,22,0.57,44,27,4
16-Jan-18,18,1.08,129,38,6
17-Jan-18,34,0.43,39,27,5
18-Jan-18,53,0.26,13,12,4
19-Jan-18,22,0.73,77,27,7
20-Jan-18,33,0.54,45,22,4
21-Jan-18,43,0.37,23,15,2
22-Jan-18,30,0.41,26,15,3
23-Jan-18,24,0.61,52,20,3
24-Jan-18,46,0.4,33,13,2
25-Jan-18,37,0.49,42,19,2
26-Jan-18,27,0.63,58,25,2
27-Jan-18,22,0.62,61,27,2
28-Jan-18,17,1.17,153,31,6
29-Jan-18,10,1.76,247,35,14
30-Jan-18,10,1.79,252,33,10
31-Jan-18,12,1.71,227,34,12
1-Feb-18,20,0.98,88,29,7
2-Feb-18,22,0.71,67,23,4
3-Feb-18,40,0.34,27,13,2
4-Feb-18,51,0.35,17,11,3
5-Feb-18,19,0.88,80,21,4
6-Feb-18,42,0.47,24,15,3
7-Feb-18,23,0.81,61,25,4
8-Feb-18,39,0.43,24,18,3
9-Feb-18,20,0.65,57,26,7
10-Feb-18,33,0.53,43,19,3
11-Feb-18,59,0.25,11,8,2
12-Feb-18,42,0.45,30,17,4
13-Feb-18,35,0.57,47,22,5
14-Feb-18,46,0.41,25,16,4
15-Feb-18,21,0.69,61,26,3
16-Feb-18,20,0.7,51,21,3
17-Feb-18,20,0.9,92,27,3
18-Feb-18,24,0.81,78,27,5
19-Feb-18,35,0.48,30,17,2
20-Feb-18,32,0.53,30,17,2
21-Feb-18,16,0.85,63,23,4
22-Feb-18,22,0.9,80,22,4
23-Feb-18,18,0.82,63,22,4
24-Feb-18,37,0.43,26,15,3
25-Feb-18,33,0.43,24,13,2
26-Feb-18,50,0.35,22,15,3
27-Feb-18,41,0.64,51,16,5
28-Feb-18,58,0.33,17,14,5
1-Mar-18,39,0.55,44,20,5
2-Mar-18,54,0.48,0,0,3
3-Mar-18,35,0.58,0,0,10
4-Mar-18,28,0.73,0,0,10
5-Mar-18,19,0.95,0,0,5
6-Mar-18,46,0.45,0,0,4
7-Mar-18,56,0.39,0,0,5
8-Mar-18,64,0.29,0,0,4
9-Mar-18,34,0.53,0,0,10
10-Mar-18,34,0.81,0,0,9
11-Mar-18,38,0.66,0,0,7
12-Mar-18,37,0.51,0,0,5
13-Mar-18,64,0.28,0,0,2
14-Mar-18,65,0.28,0,0,2
15-Mar-18,55,0.36,0,0,3
16-Mar-18,24,0.66,0,0,6
17-Mar-18,38,0.68,0,0,4
18-Mar-18,50,0.4,0,0,3
19-Mar-18,52,0.38,0,0,3
20-Mar-18,58,0.38,0,0,4
21-Mar-18,38,0.57,0,0,3
22-Mar-18,45,0.65,0,0,2
23-Mar-18,66,0.29,0,0,3
24-Mar-18,66,0.32,0,0,3
25-Mar-18,67,0.28,0,0,3
26-Mar-18,62,0.35,0,0,2
27-Mar-18,45,0.4,0,0,4
28-Mar-18,32,0.55,24,49,6
29-Mar-18,68,0,16,39,2
30-Mar-18,56,0,41,58,5
31-Mar-18,39,0,40,56,3
1-Apr-18,79,0,12,21,2
2-Apr-18,68,0,15,39,3
3-Apr-18,39,0.45,61,67,5
4-Apr-18,41,0.79,69,74,11
5-Apr-18,39,0.82,68,78,12
6-Apr-18,58,0.48,20,52,7
7-Apr-18,50,0.38,21,45,3
8-Apr-18,78,0.25,13,28,2
9-Apr-18,88,0.25,9,31,3
10-Apr-18,48,0.49,33,61,7
11-Apr-18,30,0.69,47,70,8
12-Apr-18,30,0.71,59,76,8
13-Apr-18,41,0.69,51,69,9
14-Apr-18,49,0.75,50,71,12
15-Apr-18,60,0.41,19,52,11
16-Apr-18,42,0.53,24,59,7
17-Apr-18,57,0.42,21,50,10
18-Apr-18,56,0.6,32,57,6
19-Apr-18,49,0.6,26,59,3
20-Apr-18,48,0.58,37,55,7
21-Apr-18,68,0.41,21,41,2
22-Apr-18,68,0.45,25,54,9
23-Apr-18,52,0.66,47,67,7
24-Apr-18,50,0.74,51,79,14
25-Apr-18,47,0.73,52,81,12
26-Apr-18,54,0.73,49,81,9
27-Apr-18,50,0.79,55,89,12
28-Apr-18,66,0.56,26,66,4
29-Apr-18,80,0.35,13,47,5
30-Apr-18,48,0.48,21,56,6
1-May-18,59,0.34,14,45,7
2-May-18,56,0.52,33,64,7
3-May-18,55,0.55,22,65,6
4-May-18,50,0.52,31,72,7
5-May-18,54,0.4,16,50,8
6-May-18,52,0.31,17,43,4
7-May-18,38,0.48,20,46,3
8-May-18,32,0.7,40,64,3
9-May-18,48,0.53,37,45,4
10-May-18,53,0.38,24,43,4
11-May-18,51,0.48,20,45,3
12-May-18,56,0.45,20,44,2
13-May-18,72,0.33,17,46,4
14-May-18,58,0.38,20,44,4
15-May-18,45,0.48,31,54,7
16-May-18,30,0.51,28,63,6
17-May-18,37,0.49,28,64,8
18-May-18,27,0.74,47,64,8
19-May-18,48,0.57,43,55,4
20-May-18,53,0.34,15,42,3
21-May-18,65,0.43,20,42,3
22-May-18,80,0.36,15,46,3
23-May-18,68,0.37,16,45,3
24-May-18,39,0.38,22,53,6
25-May-18,41,0.58,29,53,3
26-May-18,75,0.39,18,44,3
27-May-18,68,0.29,17,31,2
28-May-18,64,0.31,18,31,2
29-May-18,67,0.42,20,40,3
30-May-18,70,0.42,17,37,3
31-May-18,67,0.48,19,43,3
1-Jun-18,53,0.58,29,64,7
2-Jun-18,63,0.46,26,62,3
3-Jun-18,77,0.33,15,51,5
4-Jun-18,65,0.48,26,64,6
5-Jun-18,57,0.45,32,63,9
6-Jun-18,45,0.4,29,55,7
7-Jun-18,45,0.38,23,53,6
8-Jun-18,50,0.43,25,65,7
9-Jun-18,58,0.35,19,49,6
10-Jun-18,66,0.21,11,33,7
11-Jun-18,70,0.37,16,43,3
12-Jun-18,74,0.38,18,50,5
13-Jun-18,72,0.4,21,56,10
14-Jun-18,60,0.38,22,49,7
15-Jun-18,60,0.29,17,34,4
16-Jun-18,50,0.36,18,39,2
17-Jun-18,42,0.35,20,46,3
18-Jun-18,35,0.63,43,60,3
19-Jun-18,37,0.6,36,54,3
20-Jun-18,59,0.48,23,52,3
21-Jun-18,59,0.48,27,58,4
22-Jun-18,60,0.38,31,52,6
23-Jun-18,57,0.36,19,48,4
24-Jun-18,50,0.28,16,33,2
25-Jun-18,55,0.38,22,39,3
26-Jun-18,68,0.3,17,33,3
27-Jun-18,60,0.3,18,34,2
28-Jun-18,68,0.21,11,27,3
29-Jun-18,75,0.2,12,31,3
30-Jun-18,68,0.29,16,43,5
1-Jul-18,63,0.32,19,44,4
2-Jul-18,60,0.47,32,64,8
3-Jul-18,64,0.59,45,71,8
4-Jul-18,61,0.54,38,71,7
5-Jul-18,53,0.46,32,62,6
6-Jul-18,53,0.41,24,55,10
7-Jul-18,66,0.34,19,50,8
8-Jul-18,73,0.23,13,32,4
9-Jul-18,66,0.32,17,39,4
10-Jul-18,63,0.28,14,34,4
11-Jul-18,71,0.31,17,42,6
12-Jul-18,51,0.43,24,52,5
13-Jul-18,42,0.54,41,58,6
14-Jul-18,42,0.48,30,51,5
15-Jul-18,61,0.27,16,40,4
16-Jul-18,63,0.41,31,55,8
17-Jul-18,50,0.4,28,55,8
18-Jul-18,65,0.29,13,35,4
19-Jul-18,67,0.33,22,49,5
20-Jul-18,64,0.34,17,40,4
21-Jul-18,63,0.36,26,49,3
22-Jul-18,56,0.38,25,53,7
23-Jul-18,56,0.32,23,46,4
24-Jul-18,60,0.32,17,39,3
25-Jul-18,63,0.34,21,42,3
26-Jul-18,51,0.4,24,44,3
27-Jul-18,54,0.37,19,45,4
28-Jul-18,56,0.3,15,38,3
29-Jul-18,49,0.33,17,42,2
30-Jul-18,43,0.44,21,45,2
31-Jul-18,40,0.52,29,48,2
1-Aug-18,34,0.54,35,49,2
2-Aug-18,33,0.56,32,47,2
3-Aug-18,45,0.55,30,47,2
4-Aug-18,55,0.39,22,40,2
5-Aug-18,68,0.28,17,37,2
6-Aug-18,59,0.46,26,54,2
7-Aug-18,43,0.58,44,62,2
8-Aug-18,42,0.55,34,58,2
9-Aug-18,50,0.45,27,43,2
10-Aug-18,51,0.4,25,36,2
11-Aug-18,51,0.35,23,33,2
12-Aug-18,55,0.27,18,30,2
13-Aug-18,48,0.44,23,42,2
14-Aug-18,54,0.35,24,44,2
15-Aug-18,55,0.27,18,37,2
16-Aug-18,58,0.33,23,45,3
17-Aug-18,59,0.26,15,42,7
18-Aug-18,44,0.4,28,50,3
19-Aug-18,57,0.28,19,42,2
20-Aug-18,70,0.33,18,33,2
21-Aug-18,58,0.32,18,37,2
22-Aug-18,54,0.36,24,43,2
23-Aug-18,64,0.35,18,43,2
24-Aug-18,68,0.32,16,43,2
25-Aug-18,55,0.32,18,40,4
26-Aug-18,47,0.37,18,40,3
27-Aug-18,54,0.31,16,38,3
28-Aug-18,41,0.42,28,45,2
29-Aug-18,40,0.52,30,48,2
30-Aug-18,33,0.73,51,63,3
31-Aug-18,29,0.74,52,66,3
1-Sep-18,39,0.65,58,62,3
2-Sep-18,39,0.57,46,63,9
3-Sep-18,36,0.64,51,69,4
4-Sep-18,55,0.37,18,45,4
5-Sep-18,52,0.36,19,47,7
6-Sep-18,61,0.37,17,42,4
7-Sep-18,62,0.35,17,42,3
8-Sep-18,42,0.43,27,52,4
9-Sep-18,42,0.58,33,49,2
10-Sep-18,39,0.65,47,61,3
11-Sep-18,41,0.68,50,60,4
12-Sep-18,45,0.6,36,53,3
13-Sep-18,53,0.5,21,41,2
14-Sep-18,42,0.62,35,59,3
15-Sep-18,42,0.69,51,57,3
16-Sep-18,36,0.82,61,57,3
17-Sep-18,44,0.6,33,57,3
18-Sep-18,46,0.55,29,42,2
19-Sep-18,42,0.57,29,46,2
20-Sep-18,44,0.49,27,46,2
21-Sep-18,34,0.53,40,54,3
22-Sep-18,39,0.71,63,58,4
23-Sep-18,43,0.71,51,60,4
24-Sep-18,35,0.81,74,64,6
25-Sep-18,27,0.61,47,42,3
26-Sep-18,56,0.39,23,27,2
27-Sep-18,52,0.34,23,26,2
28-Sep-18,41,0.41,29,31,2
29-Sep-18,39,0.34,25,35,2
30-Sep-18,43,0.19,13,25,2
1-Oct-18,31,0.44,32,38,4
2-Oct-18,27,0.93,85,54,4
3-Oct-18,21,0.99,87,47,3
4-Oct-18,18,0.97,84,47,3
5-Oct-18,42,0.64,34,47,3
