DAY,O3,CO,NO,NO2
1-Jan-18,22,1.26,40,35
2-Jan-18,31,0.51,25,35
3-Jan-18,24,0.70,25,34
4-Jan-18,35,0.58,20,30
5-Jan-18,24,1.10,64,45
6-Jan-18,19,1.30,62,37
7-Jan-18,18,1.11,49,36
8-Jan-18,15,1.01,54,40
9-Jan-18,18,0.53,22,33
10-Jan-18,11,0.66,17,37
11-Jan-18,17,0.58,22,36
12-Jan-18,24,0.68,33,37
13-Jan-18,45,0.41,6,25
14-Jan-18,50,0.37,3,11
15-Jan-18,23,0.66,21,34
16-Jan-18,23,1.01,64,41
17-Jan-18,31,0.50,26,38
18-Jan-18,62,0.43,4,16
19-Jan-18,24,1.19,60,50
20-Jan-18,37,0.46,30,35
21-Jan-18,45,0.27,8,24
22-Jan-18,34,0.50,8,29
23-Jan-18,42,0.64,19,27
24-Jan-18,66,0.44,3,14
25-Jan-18,58,0.55,4,20
26-Jan-18,41,0.59,11,33
27-Jan-18,29,0.73,19,36
28-Jan-18,23,0.79,23,37
29-Jan-18,14,1.49,89,54
30-Jan-18,13,1.24,81,51
31-Jan-18,15,1.47,89,56
1-Feb-18,24,1.10,61,46
2-Feb-18,25,0.83,47,42
3-Feb-18,52,0.14,4,19
4-Feb-18,60,0.22,3,17
5-Feb-18,37,0.84,33,28
6-Feb-18,50,0.63,6,29
7-Feb-18,36,0.73,23,39
8-Feb-18,40,0.42,9,34
9-Feb-18,25,0.75,28,46
10-Feb-18,47,0.33,7,26
11-Feb-18,60,0.25,4,18
12-Feb-18,44,0.62,16,34
13-Feb-18,40,0.00,25,41
14-Feb-18,54,0.00,6,31
15-Feb-18,33,0.00,12,45
16-Feb-18,49,0.00,5,24
17-Feb-18,40,0.00,30,36
18-Feb-18,52,0.00,5,31
19-Feb-18,62,0.00,2,19
20-Feb-18,53,0.00,3,25
21-Feb-18,29,0.00,17,43
22-Feb-18,33,0.00,35,37
23-Feb-18,38,0.00,11,33
24-Feb-18,54,0.00,4,24
25-Feb-18,49,0.00,3,23
26-Feb-18,62,0.00,8,27
27-Feb-18,53,0.00,22,30
28-Feb-18,70,0.00,3,25
1-Mar-18,53,0.00,8,40
2-Mar-18,72,0.00,3,28
3-Mar-18,43,0.00,20,37
4-Mar-18,38,0.00,14,39
5-Mar-18,38,0.00,32,35
