DAY,O3
1-Jan-18,19
2-Jan-18,16
3-Jan-18,16
4-Jan-18,16
5-Jan-18,17
6-Jan-18,18
7-Jan-18,17
8-Jan-18,16
9-Jan-18,20
10-Jan-18,21
11-Jan-18,16
12-Jan-18,17
13-Jan-18,20
14-Jan-18,26
15-Jan-18,17
16-Jan-18,22
17-Jan-18,25
18-Jan-18,31
19-Jan-18,32
20-Jan-18,33
21-Jan-18,31
22-Jan-18,26
23-Jan-18,41
24-Jan-18,58
25-Jan-18,None
26-Jan-18,None
27-Jan-18,None
28-Jan-18,None
29-Jan-18,None
30-Jan-18,None
31-Jan-18,None
1-Feb-18,None
2-Feb-18,None
3-Feb-18,None
4-Feb-18,None
5-Feb-18,18
6-Feb-18,17
7-Feb-18,8
8-Feb-18,4
9-Feb-18,4
10-Feb-18,19
11-Feb-18,7
12-Feb-18,3
13-Feb-18,3
14-Feb-18,5
15-Feb-18,9
16-Feb-18,3
17-Feb-18,7
18-Feb-18,3
19-Feb-18,13
20-Feb-18,12
21-Feb-18,7
22-Feb-18,2
23-Feb-18,5
24-Feb-18,7
25-Feb-18,18
26-Feb-18,12
27-Feb-18,4
28-Feb-18,6
1-Mar-18,4
2-Mar-18,9
3-Mar-18,2
4-Mar-18,2
5-Mar-18,12
6-Mar-18,5
7-Mar-18,4
8-Mar-18,3
9-Mar-18,2
10-Mar-18,1
11-Mar-18,1
12-Mar-18,2
13-Mar-18,2
14-Mar-18,1
15-Mar-18,1
16-Mar-18,1
17-Mar-18,4
18-Mar-18,7
19-Mar-18,3
20-Mar-18,2
21-Mar-18,2
22-Mar-18,20
23-Mar-18,2
24-Mar-18,2
25-Mar-18,12
26-Mar-18,9
27-Mar-18,5
28-Mar-18,9
29-Mar-18,10
30-Mar-18,4
31-Mar-18,4
1-Apr-18,19
2-Apr-18,10
3-Apr-18,6
4-Apr-18,2
5-Apr-18,2
6-Apr-18,23
7-Apr-18,23
8-Apr-18,45
9-Apr-18,39
10-Apr-18,5
11-Apr-18,3
12-Apr-18,2
13-Apr-18,2
14-Apr-18,5
15-Apr-18,30
16-Apr-18,13
17-Apr-18,4
18-Apr-18,10
19-Apr-18,12
20-Apr-18,18
21-Apr-18,32
22-Apr-18,8
23-Apr-18,3
24-Apr-18,2
25-Apr-18,2
26-Apr-18,2
27-Apr-18,2
28-Apr-18,46
29-Apr-18,20
30-Apr-18,11
1-May-18,9
2-May-18,6
3-May-18,31
4-May-18,5
5-May-18,5
6-May-18,10
7-May-18,6
8-May-18,2
9-May-18,2
10-May-18,2
11-May-18,9
12-May-18,18
13-May-18,7
14-May-18,3
15-May-18,2
16-May-18,2
17-May-18,2
18-May-18,1
19-May-18,7
20-May-18,11
21-May-18,27
22-May-18,13
23-May-18,12
24-May-18,3
25-May-18,8
26-May-18,19
27-May-18,25
28-May-18,28
29-May-18,28
30-May-18,19
31-May-18,23
1-Jun-18,13
2-Jun-18,27
3-Jun-18,5
4-Jun-18,2
5-Jun-18,2
6-Jun-18,2
7-Jun-18,3
8-Jun-18,3
9-Jun-18,3
10-Jun-18,6
11-Jun-18,11
12-Jun-18,14
13-Jun-18,5
14-Jun-18,6
15-Jun-18,10
16-Jun-18,10
17-Jun-18,8
18-Jun-18,6
19-Jun-18,19
20-Jun-18,34
21-Jun-18,18
22-Jun-18,4
23-Jun-18,15
24-Jun-18,32
25-Jun-18,41
26-Jun-18,40
27-Jun-18,21
28-Jun-18,4
29-Jun-18,6
30-Jun-18,12
1-Jul-18,12
2-Jul-18,4
3-Jul-18,3
4-Jul-18,9
5-Jul-18,3
6-Jul-18,1
7-Jul-18,3
8-Jul-18,10
9-Jul-18,6
10-Jul-18,6
11-Jul-18,6
12-Jul-18,10
13-Jul-18,None
14-Jul-18,None
